1,あきのたの　かりほのいほの　とまをあらみ,あきの,
2,はるすぎて　なつきにけらし　　しろたへの,はるす,
3,あしびきの　やまどりのをの　しだりをの,あし,
4,たごのうらに　うちいでてみれば　しろたへの,たご,
5,おくやまに　もみぢふみわけ　なくしかの,おく,
6,かささぎの　わたせるはしに　おくしもの,かさ,
7,あまのはら　ふりさけみれば　かすがなる,あまの,
8,わがいほは　みやこのたつみ　しかぞすむ,わがい,
9,はなのいろは　うつりにけりな　いたづらに,はなの,
10,これやこの　いくもかへるもわかれては,これ,
11,わたのはら　やそしまかけて　こぎいでぬと,わたのはら　や,
12,あまつかぜ　くものかよひぢ　ふきとぢよ,あまつ,
13,つくばねの　みねよりおつる　みなのがは,つく,
14,みちのくの　しのぶもぢずり　たれゆゑに,みち,
15,きみがため　はるののにいでて　わかなつむ,きみがため　は,
16,たちわかれ　いなばのやまの　みねにおふる,たち,
17,ちはやぶる　かみよもきかず　たつたがは,ちは,
18,すみのえの　きしによるなみ　よるさへや,す,
19,なにはがた　みじかきあしの　ふしのまも,なにはが,
20,わびぬれば　いまはたおなじ　なにはなる,わび,
21,いまこむと　いひしばかりに　ながつきの,いまこ,
22,ふくからに　あきのくさきの　しをるれば,ふ,
23,つきみれば　ちぢにものこそ　かなしけれ,つき,
24,このたびは　ぬさもとりあへず　たむけやま,この,
25,なにしおはば　あふさかやまの　さねかづら,なにし,
26,をぐらやま　みねのもみぢば　こころあらば,をぐ,おぐ
27,みかのはら　わきてながるる　いづみがは,みかの,
28,やまざとは　ふゆぞさびしさ　まさりける,やまざ,
29,こころあてに　をらばやをらむ　はつしもの,こころあ,
30,ありあけの　つれなくみえし　わかれより,ありあ,
31,あさぼらけ　ありあけのつきと　みるまでに,あさぼらけ　あ,
32,やまがはに　かぜのかけたる　しがらみは,やまが,
33,ひさかたの　ひかりのどけき　はるのひに,ひさ,
34,たれをかも　しるひとにせむ　たかさごの,たれ,
35,ひとはいさ　こころもしらず　ふるさとは,ひとは,
36,なつのよは　まだよひながら　あけぬるを,なつ,
37,しらつゆに　かぜのふきしく　あきののは,しら,
38,わすらるる　みをばおもはず　ちかひてし,わすら,
39,あさぢふの　をののしのはら　しのぶれど,あさぢ,あさじ
40,しのぶれど　いろにいでにけり　わがこひは,しの,
41,こひすてふ　わがなはまだき　たちにけり,こひ,こい
42,ちぎりきな　かたみにそでを　しぼりつつ,ちぎりき,
43,あひみての　のちのこころに　くらぶれば,あひ,あい
44,あふことの　たえてしなくは　なかなかに,あふこ,おおこ
45,あはれとも　いふべきひとは　おもほえで,あはれ,あわれ
46,ゆらのとを　わたるふなびと　かぢをたえ,ゆら,
47,やへむぐら　しげれるやどの　さびしきに,やへ,やえ
48,かぜをいたみ　いはうつなみの　おのれのみ,かぜを,
49,みかきもり　ゑじのたくひの　よるはもえ,みかき,
50,きみがため　をしからざりし　いのちさへ,きみがため　を,
51,かくとだに　えやはいぶきの　さしもぐさ,かく,
