札番号,元のカタカナ,元のひらがな,カタカナ決まり字,ひらがな決まり字,単語数（制限なし）,総文字数（制限なし）,カタカナ決まり字パーツ,ひらがな決まり字パーツ,カタカナパーツ(1句目),ひらがなパーツ(1句目),カタカナパーツ(2句目),ひらがなパーツ(2句目),手動追加パーツ
1,アキノタノ　カリホノイホノ　トマヲアラミ,あきのたの　かりほのいほの　とまをあらみ,アキノ,あきの,12,28,アキノ,あきの,アキ ノタ ノタノ タノ,あき のた のたの たの,,,秋の 田の
2,ハルスギテ　ナツキニケラシ　　シロタエノ,はるすぎて　なつきにけらし　　しろたえの,ハルス,はるす,12,28,ハルス,はるす,ハル スギ スギテ ギテ,はる すぎ すぎて ぎて,,,春過 春す
3,アシビキノ　ヤマドリノヲノ　シダリヲノ,あしびきの　やまどりのをの　しだりをの,アシ,あし,12,28,アシ,あし,ビキ ビキノ キノ,びき びきの きの,,,足びき 足引き 足び 脚び
4,タゴノウラニ　ウチイデテミレバ　シロタエノ,たごのうらに　うちいでてみれば　しろたえの,タゴ,たご,12,28,タゴ,たご,ノウ ウラニ ラニ,のう うらに らに,,,田子 田子の 浦に の浦に
5,オクヤマニ　モミヂフミワケ　ナクシカノ,おくやまに　もみぢふみわけ　なくしかの,オク,おく,12,28,オク,おく,ヤマ ヤマニ マニ,やま やまに まに,,,奥山 奥山に 山に おく山
6,カササギノ　ワタセルハシニ　オクシモノ,かささぎの　わたせるはしに　おくしもの,カサ,かさ,12,28,カサ,かさ,サギ サギノ ギノ,さぎ さぎの ぎの,,,鵲の 嵩さぎ 笠さぎ 傘さ
7,アマノハラ　フリサケミレバ　カスガナル,あまのはら　ふりさけみれば　かすがなる,アマノ,あまの,12,28,アマノ,あまの,アマ ノハ ノハラ ハラ,あま のは のはら はら,,,天の 野原
8,ワガイホハ　ミヤコノタツミ　シカゾスム,わがいほは　みやこのたつみ　しかぞすむ,ワガイ,わがい,12,28,ワガイ,わがい,ワガ イホ イホハ ホハ,わが いほ いほは ほは,,,我が 伊保
9,ハナノイロハ　ウツリニケリナ　イタヅラニ,はなのいろは　うつりにけりな　いたづらに,ハナノ,はなの,12,28,ハナノ,はなの,ハナ ノイ イロハ ロハ,はな のい いろは ろは,,,花の 色は
10,コレヤコノ　イクモカヘルモ　ワカレテハ,これやこの　いくもかへるも　わかれては,コレ,これ,12,28,コレ,これ,ヤコ ヤコノ コノ,やこ やこの この,,,之や 是也こ コレや 個の
11,ワタノハラ　ヤソシマカケテ　コギイデヌト,わたのはら　やそしまかけて　こぎいでぬと,ワタノハラヤ,わたのはらや,12,28,,,ワタ ノハ ノハラ ハラ,わた のは のはら はら,ヤソ ヤソシ,やそ やそし,
12,アマツカゼ　クモノカヨイヂ　フキトヂヨ,あまつかぜ　くものかよひぢ　ふきとぢよ,アマツ,あまつ,12,28,アマツ,あまつ,アマ ツカ ツカゼ カゼ,あま つか つかぜ かぜ,,,天つ つ風
13,ツクバネノ　ミネヨリオツル　ミナノガワ,つくばねの　みねよりおつる　みなのがは,ツク,つく,12,28,ツク,つく,バネ バネノ ネノ,ばね ばねの ねの,,,筑波 筑波嶺 嶺の 波嶺の
14,ミチノクノ　シノブモヂズリ　タレユエニ,みちのくの　しのぶもぢずり　たれゆえに,ミチ,みち,12,28,ミチ,みち,ノク ノクノ クノ,のく のくの くの,,,道奥 道奥の 奥の 道のく
15,キミガタメ　ハルノノニイデテ　ワカナツム,きみがため　はるののにいでて　わかなつむ,キミガタメハ,きみがためは,12,28,,,キミ ガタ ガタメ タメ,きみ がた がため ため,ハル ハルノ,はる はるの,
16,タチワカレ　イナバノヤマノ　ミネニオウル,たちわかれ　いなばのやまの　みねにおうる,タチ,たち,12,28,タチ,たち,ワカ ワカレ カレ,わか わかれ かれ,,,立ち 立ち別 別れ ち別れ
17,チハヤブル　カミヨモキカズ　タツタガワ,ちはやぶる　かみよもきかず　たつたがわ,チハ,ちは,13,28,チハ,ちは,ヤブ ヤブル ブル,やぶ やぶる ぶる,,,千早 千速 振る 降る 智派
18,スミノエノ　キシニヨルナミ　ヨルサエヤ,すみのえの　きしによるなみ　よるさへや,ス,す,13,28,ス,す,スミ ノエ ノエノ エノ,すみ のえ のえの えの,,,住の 住の江 の江の
19,ナニワガタ　ミジカキアシノ　フシノマモ,なにはがた　みじかきあしの　ふしのまも,ナニハガ,なにはが,12,28,,,ナニ ワガ ワガタ ガタ,なに はが はがた がた,ミジ ミジカ,みじ みじか,
20,ワビヌレバ　イマハタオナジ　ナニワナル,わびぬれば　いまはたおなじ　なにわなる,ワビ,わび,12,28,ワビ,わび,ヌレ ヌレバ レバ,ぬれ ぬれば れば,,,詫びぬ 侘びぬ 詫び 侘び
21,イマコント　イイシバカリニ　ナガツキノ,いまこむと　いいしばかりに　ながつきの,イマコ,いまこ,12,28,イマコ,いまこ,イマ コン コント ント,いま こむ こむと むと,,,今来 来む
22,フクカラニ　アキノクサキノ　シオルレバ,ふくからに　あきのくさきの　しをるれば,フ,ふ,13,28,フ,ふ,フク カラ カラニ ラニ,ふく から からに らに,,,吹く 吹くか 拭くか
23,ツキミレバ　チヂニモノコソ　カナシケレ,つきみれば　ちぢにものこそ　かなしけれ,ツキ,つき,12,28,ツキ,つき,ミレ ミレバ レバ,みれ みれば れば,,,月見 月見れ 見れば 見れ
24,コノタビハ　ヌサモトリアヘズ　タムケヤマ,このたびは　ぬさもとりあへず　たむけやま,コノ,この,12,28,コノ,この,タビ タビハ ビハ,たび たびは びは,,,この旅 この度 個の 此の
25,ナニシオワバ　オオサカヤマノ　サネカヅラ,なにしおはば　あふさかやまの　さねかづら,ナニシ,なにし,12,28,ナニシ,なにし,ナニ シオ オワバ ワバ,なに しお おはば はば,,,何し 大葉
26,オグラヤマ　ミネノモミヂバ　ココロアラバ,をぐらやま　みねのもみぢば　こころあらば,ヲグ,おぐ,12,28,ヲグ,おぐ,オグ ラヤ ラヤマ ヤマ,をぐ らや らやま やま,,,小倉や 小倉山
27,ミカノハラ　ワキテナガルル　イヅミガワ,みかのはら　わきてながるる　いづみがは,ミカノ,みかの,12,28,ミカノ,みかの,ミカ ノハ ノハラ ハラ,みか のは のはら はら,,,野原 かの
28,ヤマザトハ　フユゾサビシサ　マサリケル,やまざとは　ふゆぞさびしさ　まさりける,ヤマザ,やまざ,12,28,ヤマザ,やまざ,ヤマ ザト ザトハ トハ,やま ざと ざとは とは,,,山里 里は
29,ココロアテニ　オラバヤヲラム　ハツシモノ,こころあてに　をらばやをらむ　はつしもの,ココロア,こころあ,12,28,,,ココ ロア アテニ テニ,ここ ろあ あてに てに,オラ オラバ,をら をらば,
30,アリアケノ　ツレナクミエシ　ワカレヨリ,ありあけの　つれなくみえし　わかれより,アリア,ありあ,12,28,アリア,ありあ,アリ アケ アケノ ケノ,あり あけ あけの けの,,,有明 明の
31,アサボラケ　アリアケノツキト　ミルマデニ,あさぼらけ　ありあけのつきと　みるまでに,アサボラケア,あさぼらけあ,12,28,,,アサ ボラ ボラケ ラケ,あさ ぼら ぼらけ らけ,アリ アリア,あり ありあ,
32,ヤマガワニ　カゼノカケタル　シガラミハ,やまがわに　かぜのかけたる　しがらみは,ヤマガ,やまが,12,28,ヤマガ,やまが,ヤマ ガワ ガワニ ワニ,やま がわ がわに わに,,,山川 川に
33,ヒサカタノ　ヒカリノドケキ　ハルノヒニ,ひさかたの　ひかりのどけき　はるのひに,ヒサ,ひさ,12,28,ヒサ,ひさ,カタ カタノ タノ,かた かたの たの,,,ひさか 久方の 片の 方の
34,タレヲカモ　シルヒトニセン　タカサゴノ,たれをかも　しるひとにせむ　たかさごの,タレ,たれ,12,28,タレ,たれ,ヲカ ヲカモ カモ,をか をかも かも,,,誰を 誰をか タレを 垂れ
35,ヒトワイサ　ココロモシラズ　フルサトハ,ひとはいさ　こころもしらず　ふるさとは,ヒトハ,ひとは,12,28,ヒトハ,ひとは,ヒト ワイ ワイサ イサ,ひと はい はいさ いさ,,,人は 伊佐
36,ナツノヨワ　マダヨイナガラ　アケヌルヲ,なつのよは　まだよひながら　あけぬるを,ナツ,なつ,12,28,ナツ,なつ,ノヨ ノヨワ ヨワ,のよ のよは よは,,,夏の 夏の夜 夜は の夜は
37,シラツユニ　カゼノフキシク　アキノノハ,しらつゆに　かぜのふきしく　あきののは,シラ,しら,12,28,シラ,しら,ツユ ツユニ ユニ,つゆ つゆに ゆに,,,白露 白露に 露に しら露
38,ワスラルル　ミヲバオモハズ　チカイテシ,わすらるる　みをばおもはず　ちかひてし,ワスラ,わすら,12,28,ワスラ,わすら,ワス ラル ラルル ルル,わす らる らるる るる,,,忘ら 瑠々
39,アサジフノ　ヲノノシノハラ　シノブレド,あさぢふの　をののしのはら　しのぶれど,アサヂ,あさじ,12,28,アサヂ,あさじ,アサ ジフ ジフノ フノ,あさ ぢふ ぢふの ふの,,,浅茅 生の
40,シノブレド　イロニイデニケリ　ワガコイワ,しのぶれど　いろにいでにけり　わがこひは,シノ,しの,12,28,シノ,しの,ブレ ブレド レド,ぶれ ぶれど れど,,,しのぶ 偲ぶ 忍ぶ シノブ
41,コイスチョウ　ワガナワマダキ　タチニケリ,こひすてふ　わがなはまだき　たちにけり,コヒ,こい,13,28,コヒ,こい,コイ スチ チョウ ョウ,こひ すて すてふ てふ,,,恋す す蝶 鯉す
42,チギリキナ　カタミニソデヲ　シボリツツ,ちぎりきな　かたみにそでを　しぼりつつ,チギリキ,ちぎりき,12,28,,,チギ リキ リキナ キナ,ちぎ りき りきな きな,カタ カタミ,かた かたみ,
43,アイミテノ　ノチノココロニ　クラブレバ,あひみての　のちのこころに　くらぶれば,アイ,あい,12,28,アイ,あい,ミテ ミテノ テノ,あひ みて みての ての,,,逢ひ 逢ひ見 見ての
44,オオコトノ　タエテシナクワ　ナカナカニ,おおことの　たえてしなくは　なかなかに,オオコ,おおこ,12,28,オオコ,おおこ,オオ コト コトノ トノ,おお こと ことの との,,,逢ふ 王こ
45,アワレトモ　イウベキヒトワ　オモオエデ,あわれとも　いうべきひとは　おもおえで,アワレ,あはれ,12,28,アワレ,あはれ,アワ レト レトモ トモ,あわ れと れとも とも,,,哀れ 憐れ
46,ユラノトヲ　ワタルフナビト　カヂヲタエ,ゆらのとを　わたるふなびと　かぢをたえ,ユラ,ゆら,12,28,ユラ,ゆら,ノト ノトヲ トヲ,のと のとを とを,,,由良 由良の 門を の門を
47,ヤエムグラ　シゲレルヤドノ　サビシキニ,やへむぐら　しげれるやどの　さびしきに,ヤエ,やえ,12,28,ヤエ,やえ,ムグ ムグラ グラ,やへ むぐ むぐら ぐら,,,八重 八重む 八重ム
48,カゼヲイタミ　イワウツナミノ　オノレノミ,かぜをいたみ　いはうつなみの　おのれのみ,カゼヲ,かぜを,12,28,カゼヲ,かぜを,カゼ ヲイ イタミ タミ,かぜ をい いたみ たみ,,,風を いた
49,ミカキモリ　エジノタクヒノ　ヨルハモエ,みかきもり　ゑじのたくひの　よるはもえ,ミカキ,みかき,12,28,ミカキ,みかき,ミカ キモ キモリ モリ,みか きも きもり もり,,,御垣 垣守
50,キミガタメ　オシカラザリシ　イノチサヘ,きみがため　をしからざりし　いのちさへ,キミガタメヲ,きみがためを,12,28,,,キミ ガタ ガタメ タメ,きみ がた がため ため,オシ オシカ,をし をしか,
51,カクトダニ　エヤワイブキノ　サシモグサ,かくとだに　えやはいぶきの　さしもぐさ,カク,かく,12,28,カク,かく,トダ トダニ ダニ,とだ とだに だに,,,かくと 角と カクト 書く
52,アケヌレバ　クルルモノトハ　シリナガラ,あけぬれば　くるるものとは　しりながら,アケ,あけ,10,23,アケ,あけ,ヌレ ヌレバ レバ,ぬれ ぬれば れば,,,明け 明けぬ
53,ナゲキツツ　ヒトリネルヨノ　アクルマワ,なげきつつ　ひとりねるよの　あくるまは,ナゲキ,なげき,12,28,ナゲキ,なげき,ナゲ キツ キツツ ツツ,なげ きつ きつつ つつ,,,嘆き 来つ
54,ワスレジノ　ユクスエマデハ　カタケレバ,わすれじの　ゆくすえまでは　かたければ,ワスレ,わすれ,12,28,ワスレ,わすれ,ワス レジ レジノ ジノ,わす れじ れじの じの,,,忘れ 忘レ
55,タキノオトワ　タエテヒサシク　ナリヌレド,たきのおとは　たえてひさしく　なりぬれど,タキ,たき,12,28,タキ,たき,ノオ オトワ トワ,のお おとは とは,,,滝の 滝の音 音は の音は
56,アラザラン　コノヨノホカノ　オモイデニ,あらざらむ　このよのほかの　おもひでに,アラザ,あらざ,12,28,アラザ,あらざ,アラ ザラ ザラン ラン,あら ざら ざらむ らむ,,,荒ざ 粗ザ
