1,秋の田の　かりほの庵の　苫をあらみ,あきのたの　かりほのいほの　とまをあらみ,あきの,,とまを　苫を,かりほ
2,春過ぎて　夏来にけらし　　白妙の,はるすぎて　なつきにけらし　　しろたへの,はるす,,夏　きに　白妙の　たえ,春すぎ　春す
3,あしびきの　山鳥の尾の　しだり尾の,あしびきの　やまどりのをの　しだりをの,あし,,おの　のお,ビキ　アシ　足びき　引きの　しびき　
4,田子の浦に　うち出でて見れば　白妙の,たごのうらに　うちいでてみれば　しろたへの,たご,,,たごの　のうら
5,奥山に　紅葉踏み分け　鳴く鹿の,おくやまに　もみぢふみわけ　なくしかの,おく,,,おくやま　おくや　紅葉
6,鵲の　渡せる橋に　置く霜の,かささぎの　わたせるはしに　おくしもの,かさ,,,カサ　かささ　傘さぎ　笠さぎ　嵩さぎ
7,天の原　ふりさけ見れば　春日なる,あまのはら　ふりさけみれば　かすがなる,あまの,,,天野原　天ノ原
8,わが庵は　都の辰巳　しかぞ住む,わがいほは　みやこのたつみ　しかぞすむ,わがい,,,我が　いよは
9,花の色は　移りにけりな　いたづらに,はなのいろは　うつりにけりな　いたづらに,はなの,,,ハナノ
10,これやこの　行くも帰るも　別れては,これやこの　いくもかへるも　わかれては,これ,,ゆくも　かえる,之や　コレ　ヤコノ　ぬさも　之やこ
11,わたの原　八十島かけて　漕ぎ出でぬと,わたのはら　やそしまかけて　こぎいでぬと,わたのはらや,,,やそ　
12,天つ風　雲の通ひ路　吹き閉ぢよ,あまつかぜ　くものかよひぢ　ふきとぢよ,あまつ,,,アマツ　ツカゼ
13,筑波嶺の　峰より落つる　男女川,つくばねの　みねよりおつる　みなのがは,つく,,,つくば　ツクバ
14,陸奥の　しのぶもぢずり　誰ゆゑに,みちのくの　しのぶもぢずり　たれゆゑに,みち,,もじ　ずり　ゆえ,道のく　みちの　ミチノ
15,君がため　春の野に出でて　若菜摘む,きみがため　はるののにいでて　わかなつむ,きみがためは,,,はる　キミが
16,立ち別れ　いなばの山の　峰に生ふる,たちわかれ　いなばのやまの　みねにおふる,たち,,,たちわ　ワカレ
17,ちはやぶる　神代も聞かず　竜田川,ちはやぶる　かみよもきかず　たつたがわ,ちは,,やふる　ふる,神代も　千早　ふる　やふる　チハヤ
18,住の江の　岸に寄る波　よるさへや,すみのえの　きしによるなみ　よるさへや,す,,,すみのえの
19,難波潟　短き蘆の　ふしの間も,なにはがた　みじかきあしの　ふしのまも,なにはが,,,なにわ　わが
20,わびぬれば　今はたおなじ　難波なる,わびぬれば　いまはたおなじ　なにはなる,わび,,はた　なにわ　なる　今　同じ,ワビ　詫び　塗れば　ヌレバ　濡れば
21,今来むと　言ひしばかりに　長月の,いまこむと　いひしばかりに　ながつきの,いまこ,,こんと　言いし　いいし,こんと　コン
22,吹くからに　秋の草木の　しをるれば,ふくからに　あきのくさきの　しをるれば,ふ,,,フク　カラに　ふくからに
23,月見れば　ちぢにものこそ　悲しけれ,つきみれば　ちぢにものこそ　かなしけれ,つき,,ちじ　ちじに,月み　ツキミ　つきみ
24,このたびは　ぬさも取りあへず　手向山,このたびは　ぬさもとりあへず　たむけやま,この,,あえず　たむけ　とりあえず　この度は,この度　旅は　コノ　タビハ　ぬさも
25,名にし負はば　逢坂山の　さねかづら,なにしおはば　あふさかやまの　さねかづら,なにし,,,おわば　おわ
26,小倉山　峰のもみぢ葉　心あらば,をぐらやま　みねのもみぢば　こころあらば,をぐ,おぐ,,おぐら　オグ　峰の
