札番号,元のひらがな,ひらがな決まり字,単語数,総文字数,最終抽出単語リスト
1,あきのたの　かりほのいほの　とまをあらみ,あきの,7,16,あきの あき のた のたの たの きの かり
2,はるすぎて　なつきにけらし　　しろたえの,はるす,7,16,はるす はる すぎ すぎて ぎて るす なつ
3,あしびきの　やまどりのをの　しだりをの,あし,7,16,あし びき びきの きの あしび しび やま
4,たごのうらに　うちいでてみれば　しろたえの,たご,7,16,たご のう うらに らに たごの ごの うら
5,おくやまに　もみぢふみわけ　なくしかの,おく,7,16,おく やま やまに まに おくや くや もみ
6,かささぎの　わたせるはしに　おくしもの,かさ,7,16,かさ さぎ さぎの ぎの かささ ささ わた
7,あまのはら　ふりさけみれば　かすがなる,あまの,7,16,あまの あま のは のはら はら まの ふり
8,わがいほは　みやこのたつみ　しかぞすむ,わがい,7,16,わがい わが いほ いほは ほは がい みや
9,はなのいろは　うつりにけりな　いたづらに,はなの,7,16,はなの はな のい いろは ろは なの いろ
10,これやこの　いくもかへるも　わかれては,これ,7,16,これ やこ やこの この これや れや いく
11,わたのはら　やそしまかけて　こぎいでぬと,わたのはらや,7,16,わた のは のはら はら やそ やそし たの
12,あまつかぜ　くものかよひぢ　ふきとぢよ,あまつ,7,16,あまつ あま つか つかぜ かぜ まつ くも
13,つくばねの　みねよりおつる　みなのがは,つく,7,16,つく ばね ばねの ねの つくば くば みね
14,みちのくの　しのぶもぢずり　たれゆえに,みち,7,16,みち のく のくの くの みちの ちの しの
15,きみがため　はるののにいでて　わかなつむ,きみがためは,7,16,きみ がた がため ため はる はるの みが
16,たちわかれ　いなばのやまの　みねにおうる,たち,7,16,たち わか わかれ かれ たちわ ちわ いな
17,ちはやぶる　かみよもきかず　たつたがわ,ちは,7,16,ちは やぶ やぶる ぶる ちはや はや かみ
18,すみのえの　きしによるなみ　よるさへや,す,7,16,す すみ のえ のえの えの すみの みのえ
19,なにはがた　みじかきあしの　ふしのまも,なにはが,7,16,なに はが はがた がた みじ みじか には
20,わびぬれば　いまはたおなじ　なにわなる,わび,7,16,わび ぬれ ぬれば れば わびぬ びぬ いま
21,いまこむと　いいしばかりに　ながつきの,いまこ,7,16,いまこ いま こむ こむと むと まこ いい
22,ふくからに　あきのくさきの　しをるれば,ふ,7,16,ふ ふく から からに らに ふくか くから
23,つきみれば　ちぢにものこそ　かなしけれ,つき,7,16,つき みれ みれば れば つきみ きみ ちぢ
24,このたびは　ぬさもとりあへず　たむけやま,この,7,16,この たび たびは びは このた のた ぬさ
25,なにしおはば　あふさかやまの　さねかづら,なにし,7,16,なにし なに しお おはば はば にし おは
26,をぐらやま　みねのもみぢば　こころあらば,おぐ,7,16,おぐ をぐ らや らやま やま をぐら ぐら
27,みかのはら　わきてながるる　いづみがは,みかの,7,16,みかの みか のは のはら はら かの わき
28,やまざとは　ふゆぞさびしさ　まさりける,やまざ,7,16,やまざ やま ざと ざとは とは まざ ふゆ
29,こころあてに　をらばやをらむ　はつしもの,こころあ,7,16,ここ ろあ あてに てに をら をらば ころ
30,ありあけの　つれなくみえし　わかれより,ありあ,7,16,ありあ あり あけ あけの けの りあ つれ
31,あさぼらけ　ありあけのつきと　みるまでに,あさぼらけあ,7,16,あさ ぼら ぼらけ らけ あり ありあ さぼ
32,やまがわに　かぜのかけたる　しがらみは,やまが,7,16,やまが やま がわ がわに わに まが かぜ
33,ひさかたの　ひかりのどけき　はるのひに,ひさ,7,16,ひさ かた かたの たの ひさか さか ひか
34,たれをかも　しるひとにせむ　たかさごの,たれ,7,16,たれ をか をかも かも たれを れを しる
35,ひとはいさ　こころもしらず　ふるさとは,ひとは,7,16,ひとは ひと はい はいさ いさ とは ここ
36,なつのよは　まだよひながら　あけぬるを,なつ,7,16,なつ のよ のよは よは なつの つの まだ
37,しらつゆに　かぜのふきしく　あきののは,しら,7,16,しら つゆ つゆに ゆに しらつ らつ かぜ
38,わすらるる　みをばおもはず　ちかひてし,わすら,7,16,わすら わす らる らるる るる すら みを
39,あさぢふの　をののしのはら　しのぶれど,あさじ,7,16,あさじ あさ ぢふ ぢふの ふの さぢ をの
40,しのぶれど　いろにいでにけり　わがこひは,しの,7,16,しの ぶれ ぶれど れど しのぶ のぶ いろ
41,こひすてふ　わがなはまだき　たちにけり,こい,7,16,こい こひ すて すてふ てふ こひす ひす
42,ちぎりきな　かたみにそでを　しぼりつつ,ちぎりき,7,16,ちぎ りき りきな きな かた かたみ ぎり
43,あひみての　のちのこころに　くらぶれば,あい,7,16,あい あひ みて みての ての あひみ ひみ
44,おおことの　たえてしなくは　なかなかに,おおこ,7,16,おおこ おお こと ことの との おこ たえ
45,あわれとも　いうべきひとは　おもおえで,あはれ,7,16,あはれ あわ れと れとも とも われ いう
46,ゆらのとを　わたるふなびと　かぢをたえ,ゆら,7,16,ゆら のと のとを とを ゆらの らの わた
47,やへむぐら　しげれるやどの　さびしきに,やえ,7,16,やえ やへ むぐ むぐら ぐら やへむ へむ
48,かぜをいたみ　いはうつなみの　おのれのみ,かぜを,7,16,かぜを かぜ をい いたみ たみ ぜを いた
49,みかきもり　ゑじのたくひの　よるはもえ,みかき,7,16,みかき みか きも きもり もり かき ゑじ
50,きみがため　をしからざりし　いのちさへ,きみがためを,7,16,きみ がた がため ため をし をしか みが
51,かくとだに　えやはいぶきの　さしもぐさ,かく,7,16,かく とだ とだに だに かくと くと えや
52,あけぬれば　くるるものとは　しりながら,あけ,7,16,あけ ぬれ ぬれば れば あけぬ けぬ くる
53,なげきつつ　ひとりねるよの　あくるまは,なげき,7,16,なげき なげ きつ きつつ つつ げき ひと
54,わすれじの　ゆくすえまでは　かたければ,わすれ,7,16,わすれ わす れじ れじの じの すれ ゆく
55,たきのおとは　たえてひさしく　なりぬれど,たき,7,16,たき のお おとは とは たきの きの おと
56,あらざらむ　このよのほかの　おもひでに,あらざ,7,16,あらざ あら ざら ざらむ らむ らざ この
57,めぐりあひて　みしやそれとも　わかぬまに,め,7,16,め めぐ りあ あひて ひて めぐり ぐりあ
58,ありまやま　いなのささはら　かぜふけば,ありま,7,16,ありま あり まや まやま やま りま いな
59,やすらはで　ねなましものを　さよふけて,やす,7,16,やす らは らはで はで やすら すら ねな
60,おおえやま　いくののみちの　とおければ,おおえ,7,16,おおえ おお えや えやま やま おえ いく
61,いにしへの　ならのみやこの　やへざくら,いに,7,16,いに しへ しへの への いにし にし なら
62,よをこめて　とりのそらねは　はかるとも,よを,7,16,よを こめ こめて めて よをこ をこ とり
63,いまはただ　おもひたえなむ　とばかりを,いまは,7,16,いまは いま はた はただ ただ まは おも
64,あさぼらけ　うぢのかはぎり　たえだえに,あさぼらけう,7,16,あさ ぼら ぼらけ らけ うぢ うぢの さぼ
65,うらみわび　ほさぬそでだに　あるものを,うら,7,16,うら みわ みわび わび うらみ らみ ほさ
66,もろともに　あわれとおもへ　やまざくら,もろ,7,16,もろ とも ともに もに もろと ろと あわ
67,はるのよの　ゆめばかりなる　たまくらに,はるの,7,16,はるの はる のよ のよの よの るの ゆめ
68,こころにも　あらでうきよに　ながらへば,こころに,7,16,ここ ろに ろにも にも あら あらで ころ
69,あらしふく　みむろのやまの　もみぢばは,あらし,7,16,あらし あら しふ しふく ふく らし みむ
70,さびしさに　やどをたちいでて　ながむれば,さ,7,16,さ さび しさ しさに さに さびし びしさ
71,ゆうされば　かどたのいなば　おとづれて,ゆふ,7,16,ゆふ ゆう され されば れば ゆうさ うさ
72,おとにきく　たかしのはまの　あだなみは,おと,7,16,おと にき にきく きく おとに とに たか
73,たかさごの　をのへのさくら　さきにけり,たか,7,16,たか さご さごの ごの たかさ かさ をの
74,うかりける　ひとをはつせの　やまおろしよ,うか,7,16,うか りけ りける ける うかり かり ひと
75,ちぎりおきし　させもがつゆを　いのちにて,ちぎりお,7,16,ちぎ りお おきし きし させ させも ぎり
76,わたのはら　こぎいでてみれば　ひさかたの,わたのはらこ,7,16,わた のは のはら はら こぎ こぎい たの
77,せをはやみ　いわにせかるる　たきがわの,せ,7,16,せ せを はや はやみ やみ せをは をはや
78,あわじしま　かようちどりの　なくこえに,あわじ,7,16,あわじ あわ じし じしま しま わじ かよ
79,あきかぜに　たなびくくもの　たえまより,あきか,7,16,あきか あき かぜ かぜに ぜに きか たな
80,ながからむ　こころもしらず　くろかみの,ながか,7,16,ながか なが から からむ らむ がか ここ
81,ほととぎす　なきつるかたを　ながむれば,ほ,7,16,ほ ほと とぎ とぎす ぎす ほとと ととぎ
82,おもいわび　さてもいのちは　あるものを,おもい,7,16,おもい おも いわ いわび わび もい さて
83,よのなかよ　みちこそなけれ　おもひいる,よのなかよ,7,16,よの なか なかよ かよ みち みちこ のな
84,ながらへば　またこのごろや　しのばれむ,ながら,7,16,ながら なが らへ らへば へば がら また
85,よもすがら　ものおもうころは　あけやらで,よも,7,16,よも すが すがら がら よもす もす もの
86,なげけとて　つきやはものを　おもはする,なげけ,7,16,なげけ なげ けと けとて とて げけ つき
87,むらさめの　つゆもまだひぬ　まきのはに,む,7,16,む むら さめ さめの めの むらさ らさめ
88,なにわえの　あしのかりねの　ひとよゆえ,なにわえ,7,16,なに わえ わえの えの あし あしの にわ
89,たまのおよ　たえなばたえね　ながらえば,たま,7,16,たま のお のおよ およ たまの まの たえ
90,みせばやな　をじまのあまの　そでだにも,みせ,7,16,みせ ばや ばやな やな みせば せば をじ
