札番号,元のカタカナ,カタカナ決まり字,単語数,総文字数,最終抽出単語リスト
1,アキノタノ　カリホノイホノ　トマヲアラミ,アキノ,7,16,アキノ アキ ノタ ノタノ タノ キノ カリ
2,ハルスギテ　ナツキニケラシ　　シロタエノ,ハルス,7,16,ハルス ハル スギ スギテ ギテ ルス ナツ
3,アシビキノ　ヤマドリノヲノ　シダリヲノ,アシ,7,16,アシ ビキ ビキノ キノ アシビ シビ ヤマ
4,タゴノウラニ　ウチイデテミレバ　シロタエノ,タゴ,7,16,タゴ ノウ ウラニ ラニ タゴノ ゴノ ウラ
5,オクヤマニ　モミヂフミワケ　ナクシカノ,オク,7,16,オク ヤマ ヤマニ マニ オクヤ クヤ モミ
6,カササギノ　ワタセルハシニ　オクシモノ,カサ,7,16,カサ サギ サギノ ギノ カササ ササ ワタ
7,アマノハラ　フリサケミレバ　カスガナル,アマノ,7,16,アマノ アマ ノハ ノハラ ハラ マノ フリ
8,ワガイホハ　ミヤコノタツミ　シカゾスム,ワガイ,7,16,ワガイ ワガ イホ イホハ ホハ ガイ ミヤ
9,ハナノイロハ　ウツリニケリナ　イタヅラニ,ハナノ,7,16,ハナノ ハナ ノイ イロハ ロハ ナノ イロ
10,コレヤコノ　イクモカヘルモ　ワカレテハ,コレ,7,16,コレ ヤコ ヤコノ コノ コレヤ レヤ イク
11,ワタノハラ　ヤソシマカケテ　コギイデヌト,ワタノハラヤ,7,16,ワタ ノハ ノハラ ハラ ヤソ ヤソシ タノ
12,アマツカゼ　クモノカヨイヂ　フキトヂヨ,アマツ,7,16,アマツ アマ ツカ ツカゼ カゼ マツ クモ
13,ツクバネノ　ミネヨリオツル　ミナノガワ,ツク,7,16,ツク バネ バネノ ネノ ツクバ クバ ミネ
14,ミチノクノ　シノブモヂズリ　タレユエニ,ミチ,7,16,ミチ ノク ノクノ クノ ミチノ チノ シノ
15,キミガタメ　ハルノノニイデテ　ワカナツム,キミガタメハ,7,16,キミ ガタ ガタメ タメ ハル ハルノ ミガ
16,タチワカレ　イナバノヤマノ　ミネニオウル,タチ,7,16,タチ ワカ ワカレ カレ タチワ チワ イナ
17,チハヤブル　カミヨモキカズ　タツタガワ,チハ,7,16,チハ ヤブ ヤブル ブル チハヤ ハヤ カミ
18,スミノエノ　キシニヨルナミ　ヨルサエヤ,ス,7,16,ス スミ ノエ ノエノ エノ スミノ ミノエ
19,ナニワガタ　ミジカキアシノ　フシノマモ,ナニハガ,7,16,ナニ ワガ ワガタ ガタ ミジ ミジカ ニワ
20,ワビヌレバ　イマハタオナジ　ナニワナル,ワビ,7,16,ワビ ヌレ ヌレバ レバ ワビヌ ビヌ イマ
21,イマコント　イイシバカリニ　ナガツキノ,イマコ,7,16,イマコ イマ コン コント ント マコ イイ
22,フクカラニ　アキノクサキノ　シオルレバ,フ,7,16,フ フク カラ カラニ ラニ フクカ クカラ
23,ツキミレバ　チヂニモノコソ　カナシケレ,ツキ,7,16,ツキ ミレ ミレバ レバ ツキミ キミ チヂ
24,コノタビハ　ヌサモトリアヘズ　タムケヤマ,コノ,7,16,コノ タビ タビハ ビハ コノタ ノタ ヌサ
25,ナニシオワバ　オオサカヤマノ　サネカヅラ,ナニシ,7,16,ナニシ ナニ シオ オワバ ワバ ニシ オワ
26,オグラヤマ　ミネノモミヂバ　ココロアラバ,ヲグ,7,16,ヲグ オグ ラヤ ラヤマ ヤマ オグラ グラ
27,ミカノハラ　ワキテナガルル　イヅミガワ,ミカノ,7,16,ミカノ ミカ ノハ ノハラ ハラ カノ ワキ
28,ヤマザトハ　フユゾサビシサ　マサリケル,ヤマザ,7,16,ヤマザ ヤマ ザト ザトハ トハ マザ フユ
29,ココロアテニ　オラバヤヲラム　ハツシモノ,ココロア,7,16,ココ ロア アテニ テニ オラ オラバ コロ
30,アリアケノ　ツレナクミエシ　ワカレヨリ,アリア,7,16,アリア アリ アケ アケノ ケノ リア ツレ
31,アサボラケ　アリアケノツキト　ミルマデニ,アサボラケア,7,16,アサ ボラ ボラケ ラケ アリ アリア サボ
32,ヤマガワニ　カゼノカケタル　シガラミハ,ヤマガ,7,16,ヤマガ ヤマ ガワ ガワニ ワニ マガ カゼ
33,ヒサカタノ　ヒカリノドケキ　ハルノヒニ,ヒサ,7,16,ヒサ カタ カタノ タノ ヒサカ サカ ヒカ
34,タレヲカモ　シルヒトニセン　タカサゴノ,タレ,7,16,タレ ヲカ ヲカモ カモ タレヲ レヲ シル
35,ヒトワイサ　ココロモシラズ　フルサトハ,ヒトハ,7,16,ヒトハ ヒト ワイ ワイサ イサ トワ ココ
36,ナツノヨワ　マダヨイナガラ　アケヌルヲ,ナツ,7,16,ナツ ノヨ ノヨワ ヨワ ナツノ ツノ マダ
37,シラツユニ　カゼノフキシク　アキノノハ,シラ,7,16,シラ ツユ ツユニ ユニ シラツ ラツ カゼ
38,ワスラルル　ミヲバオモハズ　チカイテシ,ワスラ,7,16,ワスラ ワス ラル ラルル ルル スラ ミヲ
39,アサジフノ　ヲノノシノハラ　シノブレド,アサヂ,7,16,アサヂ アサ ジフ ジフノ フノ サジ ヲノ
40,シノブレド　イロニイデニケリ　ワガコイワ,シノ,7,16,シノ ブレ ブレド レド シノブ ノブ イロ
41,コイスチョウ　ワガナワマダキ　タチニケリ,コヒ,7,16,コヒ コイ スチ チョウ ョウ コイス イス
42,チギリキナ　カタミニソデヲ　シボリツツ,チギリキ,7,16,チギ リキ リキナ キナ カタ カタミ ギリ
43,アイミテノ　ノチノココロニ　クラブレバ,アイ,7,16,アイ ミテ ミテノ テノ アイミ イミ ノチ
44,オオコトノ　タエテシナクワ　ナカナカニ,オオコ,7,16,オオコ オオ コト コトノ トノ オコ タエ
45,アワレトモ　イウベキヒトワ　オモオエデ,アワレ,7,16,アワレ アワ レト レトモ トモ ワレ イウ
46,ユラノトヲ　ワタルフナビト　カヂヲタエ,ユラ,7,16,ユラ ノト ノトヲ トヲ ユラノ ラノ ワタ
47,ヤエムグラ　シゲレルヤドノ　サビシキニ,ヤエ,7,16,ヤエ ムグ ムグラ グラ ヤエム エム シゲ
48,カゼヲイタミ　イワウツナミノ　オノレノミ,カゼヲ,7,16,カゼヲ カゼ ヲイ イタミ タミ ゼヲ イタ
49,ミカキモリ　エジノタクヒノ　ヨルハモエ,ミカキ,7,16,ミカキ ミカ キモ キモリ モリ カキ エジ
50,キミガタメ　オシカラザリシ　イノチサヘ,キミガタメヲ,7,16,キミ ガタ ガタメ タメ オシ オシカ ミガ
51,カクトダニ　エヤワイブキノ　サシモグサ,カク,7,16,カク トダ トダニ ダニ カクト クト エヤ
52,アケヌレバ　クルルモノトハ　シリナガラ,アケ,7,16,アケ ヌレ ヌレバ レバ アケヌ ケヌ クル
53,ナゲキツツ　ヒトリネルヨノ　アクルマワ,ナゲキ,7,16,ナゲキ ナゲ キツ キツツ ツツ ゲキ ヒト
54,ワスレジノ　ユクスエマデハ　カタケレバ,ワスレ,7,16,ワスレ ワス レジ レジノ ジノ スレ ユク
55,タキノオトワ　タエテヒサシク　ナリヌレド,タキ,7,16,タキ ノオ オトワ トワ タキノ キノ オト
56,アラザラン　コノヨノホカノ　オモイデニ,アラザ,7,16,アラザ アラ ザラ ザラン ラン ラザ コノ
57,メグリアイテ　ミシヤソレトモ　ワカヌマニ,メ,7,16,メ メグ リア アイテ イテ メグリ グリア
58,アリマヤマ　イナノササハラ　カゼフケバ,アリマ,7,16,アリマ アリ マヤ マヤマ ヤマ リマ イナ
59,ヤスラワデ　ネナマシモノヲ　サヨフケテ,ヤス,7,16,ヤス ラワ ラワデ ワデ ヤスラ スラ ネナ
60,オオエヤマ　イクノノミチノ　トオケレバ,オホエ,7,16,オホエ オオ エヤ エヤマ ヤマ オエ イク
61,イニシエノ　ナラノミヤコノ　ヤエザクラ,イニ,7,16,イニ シエ シエノ エノ イニシ ニシ ナラ
62,ヨヲコメテ　トリノソラネワ　ハカルトモ,ヨヲ,7,16,ヨヲ コメ コメテ メテ ヨヲコ ヲコ トリ
63,イマワタダ　オモイタエナン　トバカリヲ,イマハ,7,16,イマハ イマ ワタ ワタダ タダ マワ オモ
64,アサボラケ　ウヂノカワギリ　タエダエニ,アサボラケウ,7,16,アサ ボラ ボラケ ラケ ウヂ ウヂノ サボ
65,ウラミワビ　ホサヌソデダニ　アルモノヲ,ウラ,7,16,ウラ ミワ ミワビ ワビ ウラミ ラミ ホサ
66,モロトモニ　アワレトオモエ　ヤマザクラ,モロ,7,16,モロ トモ トモニ モニ モロト ロト アワ
67,ハルノヨノ　ユメバカリナル　タマクラニ,ハルノ,7,16,ハルノ ハル ノヨ ノヨノ ヨノ ルノ ユメ
68,ココロニモ　アラデウキヨニ　ナガラエバ,ココロニ,7,16,ココ ロニ ロニモ ニモ アラ アラデ コロ
69,アラシフク　ミムロノヤマノ　モミヂバワ,アラシ,7,16,アラシ アラ シフ シフク フク ラシ ミム
70,サビシサニ　ヤドヲタチイデテ　ナガムレバ,サ,7,16,サ サビ シサ シサニ サニ サビシ ビシサ
71,ユウサレバ　カドタノイナバ　オトヅレテ,ユフ,7,16,ユフ ユウ サレ サレバ レバ ユウサ ウサ
72,オトニキク　タカシノハマノ　アダナミワ,オト,7,16,オト ニキ ニキク キク オトニ トニ タカ
73,タカサゴノ　オノエノサクラ　サキニケリ,タカ,7,16,タカ サゴ サゴノ ゴノ タカサ カサ オノ
74,ウカリケル　ヒトヲハツセノ　ヤマオロシヨ,ウカ,7,16,ウカ リケ リケル ケル ウカリ カリ ヒト
75,チギリオキシ　サセモガツユヲ　イノチニテ,チギリオ,7,16,チギ リオ オキシ キシ サセ サセモ ギリ
76,ワタノハラ　コギイデテミレバ　ヒサカタノ,ワタノハラコ,7,16,ワタ ノハ ノハラ ハラ コギ コギイ タノ
77,セヲハヤミ　イワニセカルル　タキガワノ,セ,7,16,セ セヲ ハヤ ハヤミ ヤミ セヲハ ヲハヤ
78,アワジシマ　カヨウチドリノ　ナクコエニ,アハヂ,7,16,アハヂ アワ ジシ ジシマ シマ ワジ カヨ
79,アキカゼニ　タナビククモノ　タエマヨリ,アキカ,7,16,アキカ アキ カゼ カゼニ ゼニ キカ タナ
80,ナガカラン　ココロモシラズ　クロカミノ,ナガカ,7,16,ナガカ ナガ カラ カラン ラン ガカ ココ
81,ホトトギス　ナキツルカタヲ　ナガムレバ,ホ,7,16,ホ ホト トギ トギス ギス ホトト トトギ
82,オモイワビ　サテモイノチワ　アルモノヲ,オモイ,7,16,オモイ オモ イワ イワビ ワビ モイ サテ
83,ヨノナカヨ　ミチコソナケレ　オモイイル,ヨノナカヨ,7,16,ヨノ ナカ ナカヨ カヨ ミチ ミチコ ノナ
84,ナガラエバ　マタコノゴロヤ　シノバレン,ナガラ,7,16,ナガラ ナガ ラエ ラエバ エバ ガラ マタ
85,ヨモスガラ　モノオモウコロワ　アケヤラデ,ヨモ,7,16,ヨモ スガ スガラ ガラ ヨモス モス モノ
86,ナゲケトテ　ツキヤワモノヲ　オモワスル,ナゲケ,7,16,ナゲケ ナゲ ケト ケトテ トテ ゲケ ツキ
