札番号,元の漢字,元のひらがな,調整後単語数,調整後総文字数（満点）,登録キーワード一覧（トリミング後）
1,秋の田の　かりほの庵の　苫をあらみ,あきのたの　かりほのいほの　とまをあらみ,19,47,あきの 秋の 秋の田 田の の田の あき のた のたの たの かり かりほ 庵の の庵の ほの いほ いほの りほの 苫を 苫をあ
2,春過ぎて　夏来にけらし　　白妙の,はるすぎて　なつきにけらし　　しろたへの,19,46,はるす 春過 春過ぎ ぎて 過ぎて はる すぎ すぎて 夏来 夏来に らし けらし なつ きに けら つきに 白妙 白妙の 妙の
3,あしびきの　山鳥の尾の　しだり尾の,あしびきの　やまどりのをの　しだりをの,19,46,あし あしび きの びきの びき 山鳥 山鳥の 尾の の尾の やま どり のを のをの まどり をの しだ しだり り尾の りを
4,田子の浦に　うち出でて見れば　白妙の,たごのうらに　うちいでてみれば　しろたへの,19,46,たご 田子 田子の 浦に の浦に のう うらに らに うち うち出 れば 見れば いで てみ みれば ちいで 白妙 白妙の 妙の
5,奥山に　紅葉踏み分け　鳴く鹿の,おくやまに　もみぢふみわけ　なくしかの,19,45,おく 奥山 奥山に 山に やま やまに まに 紅葉 紅葉踏 分け み分け もみ ぢふ みわ みわけ みぢふ わけ 鳴く 鳴く鹿
6,鵲の　渡せる橋に　置く霜の,かささぎの　わたせるはしに　おくしもの,19,45,かさ 鵲の さぎ さぎの ぎの 渡せ 渡せる 橋に る橋に わた せる はし はしに たせる しに 置く 置く霜 霜の く霜の
7,天の原　ふりさけ見れば　春日なる,あまのはら　ふりさけみれば　かすがなる,19,46,あまの 天の 天の原 の原 あま のは のはら はら ふり ふりさ れば 見れば さけ みれ みれば りさけ 春日 春日な なる
8,わが庵は　都の辰巳　しかぞ住む,わがいほは　みやこのたつみ　しかぞすむ,19,46,わがい わが わが庵 庵は が庵は いほ いほは ほは 都の 都の辰 辰巳 の辰巳 みや この たつ たつみ やこの つみ しか
9,花の色は　移りにけりな　いたづらに,はなのいろは　うつりにけりな　いたづらに,19,46,はなの 花の 花の色 色は の色は はな のい いろは ろは 移り 移りに りな けりな うつ りに けり つりに いた いたづ
10,これやこの　行くも帰るも　別れては,これやこの　いくもかへるも　わかれては,19,46,これ これや この やこの やこ 行く 行くも るも 帰るも いく もか へる へるも くもか 別れ 別れて ては れては わか
11,わたの原　八十島かけて　漕ぎ出でぬと,わたのはら　やそしまかけて　こぎいでぬと,19,49,わたのはらや わた わたの の原 たの原 のは のはら はら 八十 八十島 けて かけて やそ しま かけ そしま 漕ぎ 漕ぎ出 ぬと
12,天つ風　雲の通ひ路　吹き閉ぢよ,あまつかぜ　くものかよひぢ　ふきとぢよ,19,45,あまつ 天つ 天つ風 つ風 あま つか つかぜ かぜ 雲の 雲の通 ひ路 通ひ路 くも のか よひ よひぢ ものか ひぢ 吹き
13,筑波嶺の　峰より落つる　男女川,つくばねの　みねよりおつる　みなのがは,19,46,つく 筑波 筑波嶺 嶺の 波嶺の ばね ばねの ねの 峰よ 峰より つる 落つる みね より おつ おつる ねより 男女 男女川
14,陸奥の　しのぶもぢずり　誰ゆゑに,みちのくの　しのぶもぢずり　たれゆゑに,19,45,みち 陸奥 陸奥の 奥の のく のくの くの しの しのぶ ずり ぢずり ぶも ぢず のぶも 誰ゆ 誰ゆゑ ゑに ゆゑに たれ
15,君がため　春の野に出でて　若菜摘む,きみがため　はるののにいでて　わかなつむ,19,49,きみがためは 君が 君がた ため がため きみ がた 春の 春の野 でて 出でて はる のの にい いでて るのの 若菜 若菜摘 摘む
16,立ち別れ　いなばの山の　峰に生ふる,たちわかれ　いなばのやまの　みねにおふる,19,46,たち 立ち 立ち別 別れ ち別れ わか わかれ かれ いな いなば 山の の山の ばの やま やまの なばの まの 峰に 峰に生
17,ちはやぶる　神代も聞かず　竜田川,ちはやぶる　かみよもきかず　たつたがは,19,45,ちは ちはや ぶる やぶる やぶ 神代 神代も かず 聞かず かみ よも きか きかず みよも 竜田 竜田川 田川 たつ たが
18,住の江の　岸に寄る波　よるさへや,すみのえの　きしによるなみ　よるさへや,19,44,す 住の 住の江 江の の江の すみ のえ のえの えの 岸に 岸に寄 る波 寄る波 きし によ るな るなみ しによ なみ
19,難波潟　短き蘆の　ふしの間も,なにはがた　みじかきあしの　ふしのまも,19,46,なにはが 難波 難波潟 波潟 なに はが はがた がた 短き 短き蘆 蘆の き蘆の みじ かき あし あしの じかき しの ふし
20,わびぬれば　今はたおなじ　難波なる,わびぬれば　いまはたおなじ　なにはなる,19,45,わび わびぬ れば ぬれば ぬれ 今は 今はた なじ おなじ いま はた おな まはた 難波 難波な なる 波なる なに はな
21,今来むと　言ひしばかりに　長月の,いまこむと　いひしばかりに　ながつきの,19,46,いまこ 今来 今来む むと 来むと いま こむ こむと 言ひ 言ひし りに かりに いひ しば かり ひしば 長月 長月の 月の
22,吹くからに　秋の草木の　しをるれば,ふくからに　あきのくさきの　しをるれば,19,44,ふ 吹く 吹くか らに からに ふく から 秋の 秋の草 木の 草木の あき のく さき さきの きのく きの しを しをる
23,月見れば　ちぢにものこそ　悲しけれ,つきみれば　ちぢにものこそ　かなしけれ,19,46,つき 月見 月見れ れば 見れば みれ みれば ちぢ ちぢに こそ のこそ にも のこ ぢにも 悲し 悲しけ けれ しけれ かな
24,このたびは　ぬさも取りあへず　手向山,このたびは　ぬさもとりあへず　たむけやま,19,45,この このた びは たびは たび ぬさ ぬさも へず あへず もと りあ さもと 手向 手向山 向山 たむ けや けやま やま
25,名にし負はば　逢坂山の　さねかづら,なにしおはば　あふさかやまの　さねかづら,19,46,なにし 名に 名にし はば 負はば なに しお おはば 逢坂 逢坂山 山の 坂山の あふ さか やま やまの ふさか まの さね
26,小倉山　峰のもみぢ葉　心あらば,をぐらやま　みねのもみぢば　こころあらば,19,44,をぐ おぐ 小倉 小倉山 倉山 らや らやま やま 峰の 峰のも ぢ葉 みぢ葉 みね のも みぢ みぢば ねのも ぢば 心あ
27,みかの原　わきて流るる　泉川,みかのはら　わきてながるる　いづみがは,19,46,みかの みか の原 かの原 のは のはら はら わき わきて るる 流るる てな がる がるる きてな 泉川 いづ みが みがは
28,山里は　冬ぞ寂しさ　まさりける,やまざとは　ふゆぞさびしさ　まさりける,19,46,やまざ 山里 山里は 里は やま ざと ざとは とは 冬ぞ 冬ぞ寂 しさ 寂しさ ふゆ ぞさ びし びしさ ゆぞさ まさ まさり
