札番号,登録キーワード,文字数,生成元の情報
1,あきの,3,決まり字
1,秋の,2,漢字パーツ (1句目)
1,秋の田,3,漢字パーツ (1句目)
1,田の,2,漢字パーツ (1句目)
1,の田の,3,漢字パーツ (1句目)
1,あき,2,ひらがなパーツ (1句目)
1,のた,2,ひらがなパーツ (1句目)
1,のたの,3,ひらがなパーツ (1句目)
1,たの,2,ひらがなパーツ (1句目)
1,かり,2,漢字パーツ (2句目)
1,かりほ,3,漢字パーツ (2句目)
1,庵の,2,漢字パーツ (2句目)
1,の庵の,3,漢字パーツ (2句目)
1,ほの,2,ひらがなパーツ (2句目)
1,いほ,2,ひらがなパーツ (2句目)
1,いほの,3,ひらがなパーツ (2句目)
1,りほの,3,ひらがなパーツ (2句目)
1,苫を,2,漢字パーツ (3句目)
1,あらみ,3,漢字パーツ (3句目)
1,とま,2,ひらがなパーツ (3句目)
2,はるす,3,決まり字
2,春過,2,漢字パーツ (1句目)
2,春過ぎ,3,漢字パーツ (1句目)
2,ぎて,2,漢字パーツ (1句目)
2,過ぎて,3,漢字パーツ (1句目)
2,はる,2,ひらがなパーツ (1句目)
2,すぎ,2,ひらがなパーツ (1句目)
2,すぎて,3,ひらがなパーツ (1句目)
2,夏来,2,漢字パーツ (2句目)
2,夏来に,3,漢字パーツ (2句目)
2,らし,2,漢字パーツ (2句目)
2,けらし,3,漢字パーツ (2句目)
2,なつ,2,ひらがなパーツ (2句目)
2,きに,2,ひらがなパーツ (2句目)
2,けら,2,ひらがなパーツ (2句目)
2,つきに,3,ひらがなパーツ (2句目)
2,白妙,2,漢字パーツ (3句目)
2,白妙の,3,漢字パーツ (3句目)
2,しろ,2,ひらがなパーツ (3句目)
2,たへの,3,ひらがなパーツ (3句目)
3,あし,2,決まり字
3,あしび,3,漢字パーツ (1句目)
3,きの,2,漢字パーツ (1句目)
3,びきの,3,漢字パーツ (1句目)
3,びき,2,ひらがなパーツ (1句目)
3,山鳥,2,漢字パーツ (2句目)
3,山鳥の,3,漢字パーツ (2句目)
3,尾の,2,漢字パーツ (2句目)
3,の尾の,3,漢字パーツ (2句目)
3,やま,2,ひらがなパーツ (2句目)
3,どり,2,ひらがなパーツ (2句目)
3,のを,2,ひらがなパーツ (2句目)
3,のをの,3,ひらがなパーツ (2句目)
3,まどり,3,ひらがなパーツ (2句目)
3,をの,2,ひらがなパーツ (2句目)
3,しだ,2,漢字パーツ (3句目)
3,り尾の,3,漢字パーツ (3句目)
3,りをの,3,ひらがなパーツ (3句目)
4,たご,2,決まり字
4,田子,2,漢字パーツ (1句目)
4,田子の,3,漢字パーツ (1句目)
4,浦に,2,漢字パーツ (1句目)
4,の浦に,3,漢字パーツ (1句目)
4,のう,2,ひらがなパーツ (1句目)
4,うらに,3,ひらがなパーツ (1句目)
4,らに,2,ひらがなパーツ (1句目)
4,うち,2,漢字パーツ (2句目)
4,うち出,3,漢字パーツ (2句目)
4,れば,2,漢字パーツ (2句目)
4,見れば,3,漢字パーツ (2句目)
4,いで,2,ひらがなパーツ (2句目)
4,てみ,2,ひらがなパーツ (2句目)
4,みれば,3,ひらがなパーツ (2句目)
4,ちいで,3,ひらがなパーツ (2句目)
