札番号,カタカナ本文,カタカナ決まり字,単語数,総文字数,抽出全単語リスト,決まり字パーツ,1句目パーツ,2句目パーツ
1,アキノタノ　カリホノイホノ　トマヲアラミ,アキノ,5,12,アキノ アキ ノタ ノタノ タノ,アキノ,アキ ノタ ノタノ タノ,
2,ハルスギテ　ナツキニケラシ　　シロタエノ,ハルス,5,12,ハルス ハル スギ スギテ ギテ,ハルス,ハル スギ スギテ ギテ,
3,アシビキノ　ヤマドリノヲノ　シダリヲノ,アシ,4,9,アシ ビキ ビキノ キノ,アシ,ビキ ビキノ キノ,
4,タゴノウラニ　ウチイデテミレバ　シロタエノ,タゴ,4,9,タゴ ノウ ウラニ ラニ,タゴ,ノウ ウラニ ラニ,
5,オクヤマニ　モミヂフミワケ　ナクシカノ,オク,4,9,オク ヤマ ヤマニ マニ,オク,ヤマ ヤマニ マニ,
6,カササギノ　ワタセルハシニ　オクシモノ,カサ,4,9,カサ サギ サギノ ギノ,カサ,サギ サギノ ギノ,
7,アマノハラ　フリサケミレバ　カスガナル,アマノ,5,12,アマノ アマ ノハ ノハラ ハラ,アマノ,アマ ノハ ノハラ ハラ,
8,ワガイホハ　ミヤコノタツミ　シカゾスム,ワガイ,5,12,ワガイ ワガ イホ イホハ ホハ,ワガイ,ワガ イホ イホハ ホハ,
9,ハナノイロハ　ウツリニケリナ　イタヅラニ,ハナノ,5,12,ハナノ ハナ ノイ イロハ ロハ,ハナノ,ハナ ノイ イロハ ロハ,
10,コレヤコノ　イクモカヘルモ　ワカレテハ,コレ,4,9,コレ ヤコ ヤコノ コノ,コレ,ヤコ ヤコノ コノ,
11,ワタノハラ　ヤソシマカケテ　コギイデヌト,ワタノハラヤ,6,14,ワタ ノハ ノハラ ハラ ヤソ ヤソシ,,ワタ ノハ ノハラ ハラ,ヤソ ヤソシ
12,アマツカゼ　クモノカヨイヂ　フキトヂヨ,アマツ,5,12,アマツ アマ ツカ ツカゼ カゼ,アマツ,アマ ツカ ツカゼ カゼ,
13,ツクバネノ　ミネヨリオツル　ミナノガワ,ツク,4,9,ツク バネ バネノ ネノ,ツク,バネ バネノ ネノ,
14,ミチノクノ　シノブモヂズリ　タレユエニ,ミチ,4,9,ミチ ノク ノクノ クノ,ミチ,ノク ノクノ クノ,
15,キミガタメ　ハルノノニイデテ　ワカナツム,キミガタメハ,6,14,キミ ガタ ガタメ タメ ハル ハルノ,,キミ ガタ ガタメ タメ,ハル ハルノ
16,タチワカレ　イナバノヤマノ　ミネニオウル,タチ,4,9,タチ ワカ ワカレ カレ,タチ,ワカ ワカレ カレ,
17,チハヤブル　カミヨモキカズ　タツタガワ,チハ,4,9,チハ ヤブ ヤブル ブル,チハ,ヤブ ヤブル ブル,
18,スミノエノ　キシニヨルナミ　ヨルサエヤ,ス,5,10,ス スミ ノエ ノエノ エノ,ス,スミ ノエ ノエノ エノ,
19,ナニワガタ　ミジカキアシノ　フシノマモ,ナニハガ,6,14,ナニ ワガ ワガタ ガタ ミジ ミジカ,,ナニ ワガ ワガタ ガタ,ミジ ミジカ
20,ワビヌレバ　イマハタオナジ　ナニワナル,ワビ,4,9,ワビ ヌレ ヌレバ レバ,ワビ,ヌレ ヌレバ レバ,
21,イマコント　イイシバカリニ　ナガツキノ,イマコ,5,12,イマコ イマ コン コント ント,イマコ,イマ コン コント ント,
22,フクカラニ　アキノクサキノ　シオルレバ,フ,5,10,フ フク カラ カラニ ラニ,フ,フク カラ カラニ ラニ,
23,ツキミレバ　チヂニモノコソ　カナシケレ,ツキ,4,9,ツキ ミレ ミレバ レバ,ツキ,ミレ ミレバ レバ,
24,コノタビハ　ヌサモトリアヘズ　タムケヤマ,コノ,4,9,コノ タビ タビハ ビハ,コノ,タビ タビハ ビハ,
25,ナニシオワバ　オオサカヤマノ　サネカヅラ,ナニシ,5,12,ナニシ ナニ シオ オワバ ワバ,ナニシ,ナニ シオ オワバ ワバ,
26,オグラヤマ　ミネノモミヂバ　ココロアラバ,ヲグ,5,11,ヲグ オグ ラヤ ラヤマ ヤマ,ヲグ,オグ ラヤ ラヤマ ヤマ,
27,ミカノハラ　ワキテナガルル　イヅミガワ,ミカノ,5,12,ミカノ ミカ ノハ ノハラ ハラ,ミカノ,ミカ ノハ ノハラ ハラ,
28,ヤマザトハ　フユゾサビシサ　マサリケル,ヤマザ,5,12,ヤマザ ヤマ ザト ザトハ トハ,ヤマザ,ヤマ ザト ザトハ トハ,
29,ココロアテニ　オラバヤヲラム　ハツシモノ,ココロア,6,14,ココ ロア アテニ テニ オラ オラバ,,ココ ロア アテニ テニ,オラ オラバ
30,アリアケノ　ツレナクミエシ　ワカレヨリ,アリア,5,12,アリア アリ アケ アケノ ケノ,アリア,アリ アケ アケノ ケノ,
31,アサボラケ　アリアケノツキト　ミルマデニ,アサボラケア,6,14,アサ ボラ ボラケ ラケ アリ アリア,,アサ ボラ ボラケ ラケ,アリ アリア
32,ヤマガワニ　カゼノカケタル　シガラミハ,ヤマガ,5,12,ヤマガ ヤマ ガワ ガワニ ワニ,ヤマガ,ヤマ ガワ ガワニ ワニ,
33,ヒサカタノ　ヒカリノドケキ　ハルノヒニ,ヒサ,4,9,ヒサ カタ カタノ タノ,ヒサ,カタ カタノ タノ,
34,タレヲカモ　シルヒトニセン　タカサゴノ,タレ,4,9,タレ ヲカ ヲカモ カモ,タレ,ヲカ ヲカモ カモ,
35,ヒトワイサ　ココロモシラズ　フルサトハ,ヒトハ,5,12,ヒトハ ヒト ワイ ワイサ イサ,ヒトハ,ヒト ワイ ワイサ イサ,
36,ナツノヨワ　マダヨイナガラ　アケヌルヲ,ナツ,4,9,ナツ ノヨ ノヨワ ヨワ,ナツ,ノヨ ノヨワ ヨワ,
37,シラツユニ　カゼノフキシク　アキノノハ,シラ,4,9,シラ ツユ ツユニ ユニ,シラ,ツユ ツユニ ユニ,
38,ワスラルル　ミヲバオモハズ　チカイテシ,ワスラ,5,12,ワスラ ワス ラル ラルル ルル,ワスラ,ワス ラル ラルル ルル,
39,アサジフノ　ヲノノシノハラ　シノブレド,アサヂ,5,12,アサヂ アサ ジフ ジフノ フノ,アサヂ,アサ ジフ ジフノ フノ,
40,シノブレド　イロニイデニケリ　ワガコイワ,シノ,4,9,シノ ブレ ブレド レド,シノ,ブレ ブレド レド,
41,コイスチョウ　ワガナワマダキ　タチニケリ,コヒ,5,11,コヒ コイ スチ チョウ ョウ,コヒ,コイ スチ チョウ ョウ,
42,チギリキナ　カタミニソデヲ　シボリツツ,チギリキ,6,14,チギ リキ リキナ キナ カタ カタミ,,チギ リキ リキナ キナ,カタ カタミ
43,アイミテノ　ノチノココロニ　クラブレバ,アイ,4,9,アイ ミテ ミテノ テノ,アイ,ミテ ミテノ テノ,
44,オオコトノ　タエテシナクワ　ナカナカニ,オオコ,5,12,オオコ オオ コト コトノ トノ,オオコ,オオ コト コトノ トノ,
45,アワレトモ　イウベキヒトワ　オモオエデ,アワレ,5,12,アワレ アワ レト レトモ トモ,アワレ,アワ レト レトモ トモ,
46,ユラノトヲ　ワタルフナビト　カヂヲタエ,ユラ,4,9,ユラ ノト ノトヲ トヲ,ユラ,ノト ノトヲ トヲ,
47,ヤエムグラ　シゲレルヤドノ　サビシキニ,ヤエ,4,9,ヤエ ムグ ムグラ グラ,ヤエ,ムグ ムグラ グラ,
48,カゼヲイタミ　イワウツナミノ　オノレノミ,カゼヲ,5,12,カゼヲ カゼ ヲイ イタミ タミ,カゼヲ,カゼ ヲイ イタミ タミ,
49,ミカキモリ　エジノタクヒノ　ヨルハモエ,ミカキ,5,12,ミカキ ミカ キモ キモリ モリ,ミカキ,ミカ キモ キモリ モリ,
50,キミガタメ　オシカラザリシ　イノチサヘ,キミガタメヲ,6,14,キミ ガタ ガタメ タメ オシ オシカ,,キミ ガタ ガタメ タメ,オシ オシカ
51,カクトダニ　エヤワイブキノ　サシモグサ,カク,4,9,カク トダ トダニ ダニ,カク,トダ トダニ ダニ,
52,アケヌレバ　クルルモノトハ　シリナガラ,アケ,4,9,アケ ヌレ ヌレバ レバ,アケ,ヌレ ヌレバ レバ,
53,ナゲキツツ　ヒトリネルヨノ　アクルマワ,ナゲキ,5,12,ナゲキ ナゲ キツ キツツ ツツ,ナゲキ,ナゲ キツ キツツ ツツ,
54,ワスレジノ　ユクスエマデハ　カタケレバ,ワスレ,5,12,ワスレ ワス レジ レジノ ジノ,ワスレ,ワス レジ レジノ ジノ,
55,タキノオトワ　タエテヒサシク　ナリヌレド,タキ,4,9,タキ ノオ オトワ トワ,タキ,ノオ オトワ トワ,
56,アラザラン　コノヨノホカノ　オモイデニ,アラザ,5,12,アラザ アラ ザラ ザラン ラン,アラザ,アラ ザラ ザラン ラン,
57,メグリアイテ　ミシヤソレトモ　ワカヌマニ,メ,5,10,メ メグ リア アイテ イテ,メ,メグ リア アイテ イテ,
58,アリマヤマ　イナノササハラ　カゼフケバ,アリマ,5,12,アリマ アリ マヤ マヤマ ヤマ,アリマ,アリ マヤ マヤマ ヤマ,
59,ヤスラワデ　ネナマシモノヲ　サヨフケテ,ヤス,4,9,ヤス ラワ ラワデ ワデ,ヤス,ラワ ラワデ ワデ,
60,オオエヤマ　イクノノミチノ　トオケレバ,オホエ,5,12,オホエ オオ エヤ エヤマ ヤマ,オホエ,オオ エヤ エヤマ ヤマ,
61,イニシエノ　ナラノミヤコノ　ヤエザクラ,イニ,4,9,イニ シエ シエノ エノ,イニ,シエ シエノ エノ,
62,ヨヲコメテ　トリノソラネワ　ハカルトモ,ヨヲ,4,9,ヨヲ コメ コメテ メテ,ヨヲ,コメ コメテ メテ,
63,イマワタダ　オモイタエナン　トバカリヲ,イマハ,5,12,イマハ イマ ワタ ワタダ タダ,イマハ,イマ ワタ ワタダ タダ,
64,アサボラケ　ウヂノカワギリ　タエダエニ,アサボラケウ,6,14,アサ ボラ ボラケ ラケ ウヂ ウヂノ,,アサ ボラ ボラケ ラケ,ウヂ ウヂノ
65,ウラミワビ　ホサヌソデダニ　アルモノヲ,ウラ,4,9,ウラ ミワ ミワビ ワビ,ウラ,ミワ ミワビ ワビ,
66,モロトモニ　アワレトオモエ　ヤマザクラ,モロ,4,9,モロ トモ トモニ モニ,モロ,トモ トモニ モニ,
67,ハルノヨノ　ユメバカリナル　タマクラニ,ハルノ,5,12,ハルノ ハル ノヨ ノヨノ ヨノ,ハルノ,ハル ノヨ ノヨノ ヨノ,
68,ココロニモ　アラデウキヨニ　ナガラエバ,ココロニ,6,14,ココ ロニ ロニモ ニモ アラ アラデ,,ココ ロニ ロニモ ニモ,アラ アラデ
69,アラシフク　ミムロノヤマノ　モミヂバワ,アラシ,5,12,アラシ アラ シフ シフク フク,アラシ,アラ シフ シフク フク,
70,サビシサニ　ヤドヲタチイデテ　ナガムレバ,サ,5,10,サ サビ シサ シサニ サニ,サ,サビ シサ シサニ サニ,
71,ユウサレバ　カドタノイナバ　オトヅレテ,ユフ,5,11,ユフ ユウ サレ サレバ レバ,ユフ,ユウ サレ サレバ レバ,
72,オトニキク　タカシノハマノ　アダナミワ,オト,4,9,オト ニキ ニキク キク,オト,ニキ ニキク キク,
73,タカサゴノ　オノエノサクラ　サキニケリ,タカ,4,9,タカ サゴ サゴノ ゴノ,タカ,サゴ サゴノ ゴノ,
74,ウカリケル　ヒトヲハツセノ　ヤマオロシヨ,ウカ,4,9,ウカ リケ リケル ケル,ウカ,リケ リケル ケル,
75,チギリオキシ　サセモガツユヲ　イノチニテ,チギリオ,6,14,チギ リオ オキシ キシ サセ サセモ,,チギ リオ オキシ キシ,サセ サセモ
76,ワタノハラ　コギイデテミレバ　ヒサカタノ,ワタノハラコ,6,14,ワタ ノハ ノハラ ハラ コギ コギイ,,ワタ ノハ ノハラ ハラ,コギ コギイ
77,セヲハヤミ　イワニセカルル　タキガワノ,セ,5,10,セ セヲ ハヤ ハヤミ ヤミ,セ,セヲ ハヤ ハヤミ ヤミ,
78,アワジシマ　カヨウチドリノ　ナクコエニ,アハヂ,5,12,アハヂ アワ ジシ ジシマ シマ,アハヂ,アワ ジシ ジシマ シマ,
79,アキカゼニ　タナビククモノ　タエマヨリ,アキカ,5,12,アキカ アキ カゼ カゼニ ゼニ,アキカ,アキ カゼ カゼニ ゼニ,
80,ナガカラン　ココロモシラズ　クロカミノ,ナガカ,5,12,ナガカ ナガ カラ カラン ラン,ナガカ,ナガ カラ カラン ラン,
81,ホトトギス　ナキツルカタヲ　ナガムレバ,ホ,5,10,ホ ホト トギ トギス ギス,ホ,ホト トギ トギス ギス,
82,オモイワビ　サテモイノチワ　アルモノヲ,オモイ,5,12,オモイ オモ イワ イワビ ワビ,オモイ,オモ イワ イワビ ワビ,
83,ヨノナカヨ　ミチコソナケレ　オモイイル,ヨノナカヨ,6,14,ヨノ ナカ ナカヨ カヨ ミチ ミチコ,,ヨノ ナカ ナカヨ カヨ,ミチ ミチコ
