共通ひらがな,文字数,該当札数,該当札一覧
わたのはら,5,2,"11(わたのはらやそし), 76(わたのはらこぎい)"
きみがため,5,2,"15(きみがためはるの), 50(きみがためをしか)"
あさぼらけ,5,2,"31(あさぼらけありあ), 64(あさぼらけうぢの)"
たのはら,4,2,"11(わたのはらやそし), 76(わたのはらこぎい)"
わたのは,4,2,"11(わたのはらやそし), 76(わたのはらこぎい)"
みがため,4,2,"15(きみがためはるの), 50(きみがためをしか)"
きみがた,4,2,"15(きみがためはるの), 50(きみがためをしか)"
あさぼら,4,2,"31(あさぼらけありあ), 64(あさぼらけうぢの)"
さぼらけ,4,2,"31(あさぼらけありあ), 64(あさぼらけうぢの)"
よのなか,4,2,"83(よのなかよみちこ), 93(よのなかはつねに)"
のはら,3,4,"7(あまのはら), 11(わたのはらやそし), 27(みかのはら), 76(わたのはらこぎい)"
たのは,3,2,"11(わたのはらやそし), 76(わたのはらこぎい)"
わたの,3,2,"11(わたのはらやそし), 76(わたのはらこぎい)"
はるの,3,2,"15(きみがためはるの), 67(はるのよの)"
がため,3,2,"15(きみがためはるの), 50(きみがためをしか)"
みがた,3,2,"15(きみがためはるの), 50(きみがためをしか)"
きみが,3,2,"15(きみがためはるの), 50(きみがためをしか)"
ぬれば,3,2,"20(わびぬれば), 52(あけぬれば)"
こころ,3,2,"29(こころあてにをらば), 68(こころにもあらで)"
ありあ,3,2,"30(ありあけの), 31(あさぼらけありあ)"
あさぼ,3,2,"31(あさぼらけありあ), 64(あさぼらけうぢの)"
さぼら,3,2,"31(あさぼらけありあ), 64(あさぼらけうぢの)"
ぼらけ,3,2,"31(あさぼらけありあ), 64(あさぼらけうぢの)"
ちぎり,3,2,"42(ちぎりきなかたみ), 75(ちぎりおきしさせも)"
よのな,3,2,"83(よのなかよみちこ), 93(よのなかはつねに)"
のなか,3,2,"83(よのなかよみちこ), 93(よのなかはつねに)"
やま,2,6,"5(おくやまに), 26(をぐらやま), 28(やまざとは), 32(やまがわに), 58(ありまやま), 60(おおえやま)"
たの,2,4,"1(あきのたの), 11(わたのはらやそし), 33(ひさかたの), 76(わたのはらこぎい)"
はら,2,4,"7(あまのはら), 11(わたのはらやそし), 27(みかのはら), 76(わたのはらこぎい)"
のは,2,4,"7(あまのはら), 11(わたのはらやそし), 27(みかのはら), 76(わたのはらこぎい)"
かぜ,2,4,"12(あまつかぜ), 48(かぜをいたみ), 79(あきかぜに), 98(かぜそよぐ)"
れば,2,4,"20(わびぬれば), 23(つきみれば), 52(あけぬれば), 71(ゆうされば)"
きの,2,3,"1(あきのたの), 3(あしびきの), 55(たきのおとは)"
はる,2,3,"2(はるすぎて), 15(きみがためはるの), 67(はるのよの)"
がた,2,3,"15(きみがためはるの), 19(なにはがたみじか), 50(きみがためをしか)"
きみ,2,3,"15(きみがためはるの), 23(つきみれば), 50(きみがためをしか)"
なに,2,3,"19(なにはがたみじか), 25(なにしおはば), 88(なにわえのあしの)"
たみ,2,3,"19(なにはがたみじか), 42(ちぎりきなかたみ), 48(かぜをいたみ)"
わび,2,3,"20(わびぬれば), 65(うらみわび), 82(おもいわび)"
とは,2,3,"28(やまざとは), 35(ひとはいさ), 55(たきのおとは)"
りあ,2,3,"30(ありあけの), 31(あさぼらけありあ), 57(めぐりあひて)"
あり,2,3,"30(ありあけの), 31(あさぼらけありあ), 58(ありまやま)"
あさ,2,3,"31(あさぼらけありあ), 39(あさぢふの), 64(あさぼらけうぢの)"
ひと,2,3,"35(ひとはいさ), 97(こぬひとを), 99(ひともをし)"
しの,2,3,"40(しのぶれど), 88(なにわえのあしの), 94(みよしのの)"
ぎり,2,3,"42(ちぎりきなかたみ), 75(ちぎりおきしさせも), 91(きりぎりす)"
なか,2,3,"42(ちぎりきなかたみ), 83(よのなかよみちこ), 93(よのなかはつねに)"
おお,2,3,"44(おおことの), 60(おおえやま), 95(おおけなく)"
とも,2,3,"45(あわれとも), 66(もろともに), 99(ひともをし)"
あら,2,3,"56(あらざらむ), 68(こころにもあらで), 69(あらしふく)"
よの,2,3,"67(はるのよの), 83(よのなかよみちこ), 93(よのなかはつねに)"
あき,2,2,"1(あきのたの), 79(あきかぜに)"
のた,2,2,"1(あきのたの), 24(このたびは)"
あし,2,2,"3(あしびきの), 88(なにわえのあしの)"
うら,2,2,"4(たごのうらに), 65(うらみわび)"
ごの,2,2,"4(たごのうらに), 73(たかさごの)"
らに,2,2,"4(たごのうらに), 22(ふくからに)"
かさ,2,2,"6(かささぎの), 73(たかさごの)"
まの,2,2,"7(あまのはら), 89(たまのおよ)"
あま,2,2,"7(あまのはら), 12(あまつかぜ)"
わが,2,2,"8(わがいほは), 92(わがそでは)"
はな,2,2,"9(はなのいろは), 96(はなさそふ)"
この,2,2,"10(これやこの), 24(このたびは)"
らや,2,2,"11(わたのはらやそし), 26(をぐらやま)"
わた,2,2,"11(わたのはらやそし), 76(わたのはらこぎい)"
みち,2,2,"14(みちのくの), 83(よのなかよみちこ)"
みが,2,2,"15(きみがためはるの), 50(きみがためをしか)"
ため,2,2,"15(きみがためはるの), 50(きみがためをしか)"
るの,2,2,"15(きみがためはるの), 67(はるのよの)"
はや,2,2,"17(ちはやぶる), 77(せをはやみ)"
えの,2,2,"18(すみのえの), 88(なにわえのあしの)"
ぬれ,2,2,"20(わびぬれば), 52(あけぬれば)"
いま,2,2,"21(いまこむと), 63(いまはただ)"
ふく,2,2,"22(ふくからに), 69(あらしふく)"
から,2,2,"22(ふくからに), 80(ながからむ)"
にし,2,2,"25(なにしおはば), 61(いにしへの)"
ぐら,2,2,"26(をぐらやま), 47(やへむぐら)"
みか,2,2,"27(みかのはら), 49(みかきもり)"
ここ,2,2,"29(こころあてにをらば), 68(こころにもあらで)"
ころ,2,2,"29(こころあてにをらば), 68(こころにもあらで)"
あけ,2,2,"30(ありあけの), 52(あけぬれば)"
さぼ,2,2,"31(あさぼらけありあ), 64(あさぼらけうぢの)"
らけ,2,2,"31(あさぼらけありあ), 64(あさぼらけうぢの)"
ぼら,2,2,"31(あさぼらけありあ), 64(あさぼらけうぢの)"
かた,2,2,"33(ひさかたの), 42(ちぎりきなかたみ)"
のよ,2,2,"36(なつのよは), 67(はるのよの)"
すら,2,2,"38(わすらるる), 59(やすらはで)"
わす,2,2,"38(わすらるる), 54(わすれじの)"
ちぎ,2,2,"42(ちぎりきなかたみ), 75(ちぎりおきしさせも)"
あひ,2,2,"43(あひみての), 57(めぐりあひて)"
あわ,2,2,"45(あわれとも), 78(あわじしま)"
とを,2,2,"46(ゆらのとを), 97(こぬひとを)"
をし,2,2,"50(きみがためをしか), 99(ひともをし)"
なげ,2,2,"53(なげきつつ), 86(なげけとて)"
のお,2,2,"55(たきのおとは), 89(たまのおよ)"
おと,2,2,"55(たきのおとは), 72(おとにきく)"
らむ,2,2,"56(あらざらむ), 80(ながからむ)"
しさ,2,2,"70(さびしさに), 75(ちぎりおきしさせも)"
なが,2,2,"80(ながからむ), 84(ながらへば)"
のな,2,2,"83(よのなかよみちこ), 93(よのなかはつねに)"
がら,2,2,"84(ながらへば), 85(よもすがら)"
