札ID,総単語数,総文字数,決まり字単語リスト,手動単語リスト,現代語単語リスト,1句目単語リスト,2句目単語リスト
1,19,47,あきの,とまを 苫を,,秋の 秋の田 田の の田の あき のた のたの たの,かり かりほ 庵の の庵の ほの いほ いほの りほの
2,18,44,はるす,きに 白妙の たえ,,春過 春過ぎ ぎて 過ぎて はる すぎ すぎて,夏来 夏来に らし けらし なつ けら つきに
3,17,40,あし,おの のお,,あしび きの びきの びき,山鳥 山鳥の 尾の の尾の やま どり のを のをの まどり をの
4,16,39,たご,,,田子 田子の 浦に の浦に のう うらに らに,うち うち出 れば 見れば いで てみ みれば ちいで
5,17,40,おく,,,奥山 奥山に 山に やま やまに まに,紅葉 紅葉踏 分け み分け もみ ぢふ みわ みわけ みぢふ わけ
6,15,35,かさ,,,鵲の さぎ さぎの ぎの,渡せ 渡せる 橋に る橋に わた せる はし はしに たせる しに
7,16,39,あまの,,,天の 天の原 の原 あま のは のはら はら,ふり ふりさ れば 見れば さけ みれ みれば りさけ
8,18,44,わがい,,,わが わが庵 庵は が庵は いほ いほは ほは,都の 都の辰 辰巳 の辰巳 みや この たつ たつみ やこの つみ
9,17,41,はなの,,,花の 花の色 色は の色は はな のい いろは ろは,移り 移りに りな けりな うつ りに けり つりに
10,16,40,これ,ゆくも かえる,,これや この やこの やこ,行く 行くも るも 帰るも いく もか へる へるも くもか
11,16,42,わたのはらや,,,わた わたの の原 たの原 のは のはら はら,八十 八十島 けて かけて やそ しま かけ そしま
12,18,43,あまつ,,,天つ 天つ風 つ風 あま つか つかぜ かぜ,雲の 雲の通 ひ路 通ひ路 くも のか よひ よひぢ ものか ひぢ
13,17,41,つく,,,筑波 筑波嶺 嶺の 波嶺の ばね ばねの ねの,峰よ 峰より つる 落つる みね より おつ おつる ねより
14,16,37,みち,もじ ずり ゆえ,,陸奥 陸奥の 奥の のく のくの くの,しの しのぶ ぢずり ぶも ぢず のぶも
15,16,42,きみがためは,,,君が 君がた ため がため きみ がた,春の 春の野 でて 出でて はる のの にい いでて るのの
16,17,41,たち,,,立ち 立ち別 別れ ち別れ わか わかれ かれ,いな いなば 山の の山の ばの やま やまの なばの まの
17,16,39,ちは,やふる ふる,,ちはや ぶる やぶる やぶ,神代 神代も かず 聞かず かみ よも きか きかず みよも
18,19,44,す,,,住の 住の江 江の の江の すみ のえ のえの えの,岸に 岸に寄 る波 寄る波 きし によ るな るなみ しによ なみ
19,18,44,なにはが,,,難波 難波潟 波潟 なに はが はがた がた,短き 短き蘆 蘆の き蘆の みじ かき あし あしの じかき しの
20,16,38,わび,はた なにわ なる 同じ,,わびぬ れば ぬれば ぬれ,今は 今はた なじ おなじ いま おな まはた
21,19,48,いまこ,こんと 言いし いいし,,今来 今来む むと 来むと いま こむ こむと,言ひ 言ひし りに かりに いひ しば かり ひしば
22,17,39,ふ,,,吹く 吹くか らに からに ふく から,秋の 秋の草 木の 草木の あき のく さき さきの きのく きの
23,16,39,つき,ちじ ちじに,,月見 月見れ れば 見れば みれ みれば,ちぢ ちぢに こそ のこそ にも のこ ぢにも
24,16,44,この,あえず たむけ とりあえず この度は,,このた びは たびは たび,ぬさ ぬさも へず あへず もと りあ さもと
25,18,44,なにし,,,名に 名にし はば 負はば なに しお おはば,逢坂 逢坂山 山の 坂山の あふ さか やま やまの ふさか まの
26,18,42,をぐ,,おぐ,小倉 小倉山 倉山 らや らやま やま,峰の 峰のも ぢ葉 みぢ葉 みね のも みぢ みぢば ねのも ぢば
27,18,45,みかの,いづみ いずみ なが,,みか の原 かの原 のは のはら はら,わき わきて るる 流るる てな がる がるる きてな
28,17,41,やまざ,,,山里 山里は 里は やま ざと ざとは とは,冬ぞ 冬ぞ寂 しさ 寂しさ ふゆ ぞさ びし びしさ ゆぞさ
29,15,38,こころあ,,,心あ 心あて てに あてに ここ ろあ,折ら 折らば らむ 折らむ をら ばや をらむ らばや
30,16,39,ありあ,,,有明 有明の 明の あり あけ あけの けの,つれ つれな えし 見えし なく みえ みえし れなく
31,17,44,あさぼらけあ,,,朝ぼ 朝ぼら らけ ぼらけ あさ ぼら,有明 有明の 月と の月と あり あけ のつ つきと りあけ きと
32,17,42,やまが,しがらみ,,山川 山川に 川に やま がわ がわに わに,風の 風のか たる けたる かぜ のか けた ぜのか
33,15,35,ひさ,のど 日に,,ひさか たの かたの かた,光の 光のど けき どけき ひか りの どけ かりの
34,16,38,たれ,にせん せん,,誰を 誰をか かも をかも をか,知る 知る人 せむ にせむ しる ひと にせ るひと
35,18,46,ひとは,故郷は ふるさと,,人は 人はい いさ はいさ ひと はい,心も 心も知 らず 知らず ここ ろも しら しらず ころも
36,17,41,なつ,明けぬ よい,,夏の 夏の夜 夜は の夜は のよ のよは よは,まだ まだ宵 がら ながら よひ なが だよひ
37,15,35,しら,,,白露 白露に 露に つゆ つゆに ゆに,風の 風の吹 しく きしく かぜ のふ きし ぜのふ
38,16,39,わすら,,,忘ら 忘らる るる らるる わす らる,身を 身をば はず 思はず みを ばお もは もはず をばお
39,20,49,あさぢ,,あさじ,浅茅 浅茅生 生の 茅生の あさ ぢふ ぢふの ふの,小野 小野の 篠原 の篠原 をの のし のは のはら ののし はら
40,16,39,しの,こいは いで わが恋,,しのぶ れど ぶれど ぶれ,色に 色に出 けり にけり いろ にい でに ろにい
41,16,39,こひ,すちょう 名は,こい,恋す 恋すて てふ すてふ すて,わが わが名 だき まだき なは まだ がなは
42,18,46,ちぎりき,形見に しぼり,,契り 契りき きな りきな ちぎ りき,かた かたみ 袖を に袖を みに そで そでを たみに でを
43,17,41,あひ,,あい,逢ひ 逢ひ見 ての 見ての みて みての,のち のちの 心に の心に のこ ころ ころに ちのこ ろに
44,19,49,あふこ,しなく 中々に なかなか,おおこ,逢ふ 逢ふこ との ことの あふ こと,絶え 絶えて くは なくは たえ てし なく えてし
45,16,39,あはれ,いう,あわれ,あは とも れとも れと,いふ いふべ 人は き人は べき ひと ひとは ふべき とは
46,18,43,ゆら,,,由良 由良の 門を の門を のと のとを とを,渡る 渡る舟 舟人 る舟人 わた るふ なび なびと たるふ びと
47,18,43,やへ,さび やえ やえむ,,八重 八重む ぐら むぐら むぐ,しげ しげれ 宿の る宿の れる やど やどの げれる どの
48,17,41,かぜを,,,風を 風をい たみ いたみ かぜ をい,岩う 岩うつ 波の つ波の いは うつ なみ なみの はうつ みの
49,18,43,みかき,,,御垣 御垣守 垣守 みか きも きもり もり,衛士 衛士の 火の く火の ゑじ のた くひ くひの じのた ひの
50,16,41,きみがためを,おし,,君が 君がた ため がため きみ がた,惜し 惜しか りし ざりし をし から ざり しから
51,15,37,かく,えやわ,,かくと だに とだに とだ,えや えやは 吹の 伊吹の はい ぶき ぶきの やはい きの
52,17,40,あけ,しり もの とは くるる,,明け 明けぬ れば ぬれば ぬれ,暮る 暮るる のとは くる るも のと るるも
53,16,39,なげき,,,嘆き 嘆きつ つつ きつつ なげ きつ,ひと ひとり 夜の る夜の りね るよ るよの とりね よの
54,17,41,わすれ,行く末 すえ 行く,,忘れ 忘れじ じの れじの わす れじ,ゆく ゆく末 では までは すゑ まで くすゑ
55,17,41,たき,,,滝の 滝の音 音は の音は のお おとは とは,絶え 絶えて しく 久しく たえ てひ さし さしく えてひ
56,15,38,あらざ,他の 思い出 おもいで,,あら らむ ざらむ ざら,この この世 かの ほかの よの ほか のよの
57,15,35,め,,,めぐ めぐり ひて 逢ひて りあ あひて,見し 見しや とも れとも みし やそ れと しやそ
58,18,43,ありま,,,有馬 有馬山 馬山 あり まや まやま やま,猪名 猪名の 笹原 の笹原 ゐな のさ さは さはら なのさ はら
59,15,37,やす,夜更け らわで,,やすら はで らはで らは,寝な 寝なま のを ものを ねな まし もの なまし
60,18,44,おほえ,,おおえ,大江 大江山 江山 おほ えや えやま やま,いく いく野 道の の道の のの みち みちの くのの ちの
61,15,36,いに,,,いにし への しへの しへ,奈良 奈良の 都の の都の なら のみ やこ やこの らのみ この
62,17,40,よを,,よお,夜を 夜をこ めて こめて こめ,鳥の 鳥の空 音は 空音は とり のそ らね らねは りのそ ねは
63,17,42,いまは,おもい ばかり,,今は 今はた ただ はただ いま はた,思ひ 思ひ絶 なむ えなむ おも ひた えな もひた
64,17,44,あさぼらけう,,,朝ぼ 朝ぼら らけ ぼらけ あさ ぼら,宇治 宇治の 川霧 の川霧 うぢ のか はぎ はぎり ぢのか ぎり
65,17,41,うら,干さぬ 袖だ もの,,恨み 恨みわ わび みわび みわ,ほさ ほさぬ だに 袖だに ぬそ でだ でだに さぬそ
66,17,42,もろ,あわれ 思え と思え,,もろと もに ともに とも,あは あはれ 思へ と思へ れと おも おもへ はれと もへ
67,17,41,はるの,,,春の 春の夜 夜の の夜の はる のよ のよの よの,夢ば 夢ばか なる りなる ゆめ ばか りな めばか
68,16,40,こころに,,,心に 心にも にも ここ ろに ろにも,あら あらで 夜に き夜に でう きよ きよに らでう よに
69,18,43,あらし,,,嵐吹 嵐吹く 吹く あら しふ しふく ふく,三室 三室の 山の の山の みむ ろの やま やまの むろの まの
70,17,39,さ,眺む,,寂し 寂しさ さに しさに さび しさ,宿を 宿を立 でて 出でて やど をた ちい いでて どをた
71,17,40,ゆふ,,ゆう,夕さ 夕され れば されば され,門田 門田の 稲葉 の稲葉 かど たの いな いなば どたの なば
72,18,43,おと,,,音に 音に聞 聞く に聞く にき にきく きく,高師 高師の 浜の の浜の たか しの はま はまの かしの まの
73,17,40,たか,,,高砂 高砂の 砂の さご さごの ごの,尾の 尾の上 の桜 上の桜 をの への さく さくら のへの くら
74,16,38,うか,,,憂か 憂かり ける りける りけ,人を 人を初 瀬の 初瀬の ひと をは つせ つせの とをは せの
