札ID,総単語数,総文字数,手動単語リスト,2句目単語リスト,3句目以降単語リスト
1,13,33,とまを 苫を,かり かりほ 庵の の庵の ほの いほ いほの りほの,苫をあ らみ あらみ
2,13,30,きに 白妙の たえ,夏来 夏来に らし けらし なつ けら つきに,白妙 妙の しろ
3,13,30,おの のお,山鳥 山鳥の 尾の の尾の やま どり のを のをの まどり をの,しだ
4,13,31,,うち うち出 れば 見れば いで てみ みれば ちいで,白妙 白妙の 妙の しろ たへ
5,13,31,,紅葉 紅葉踏 分け み分け もみ ぢふ みわ みわけ みぢふ わけ,鳴く 鳴く鹿 鹿の
6,13,31,,渡せ 渡せる 橋に る橋に わた せる はし はしに たせる しに,置く 置く霜 霜の
7,13,32,,ふり ふりさ れば 見れば さけ みれ みれば りさけ,春日 春日な なる 日なる かす
8,13,31,,都の 都の辰 辰巳 の辰巳 みや この たつ たつみ やこの つみ,しか しかぞ 住む
9,13,31,,移り 移りに りな けりな うつ りに けり つりに,いた いたづ らに づらに づら
10,13,33,ゆくも かえる,行く 行くも るも 帰るも いく もか へる へるも くもか,別れ 別れて
11,13,31,,八十 八十島 けて かけて やそ しま かけ そしま,漕ぎ 漕ぎ出 ぬと でぬと こぎ
12,13,31,,雲の 雲の通 ひ路 通ひ路 くも のか よひ よひぢ ものか ひぢ,吹き 吹き閉 ぢよ
13,13,31,,峰よ 峰より つる 落つる みね より おつ おつる ねより,男女 男女川 女川 みな
14,13,31,もじ ずり ゆえ,しの しのぶ ぢずり ぶも ぢず のぶも,誰ゆ 誰ゆゑ ゑに ゆゑに
15,13,32,,春の 春の野 でて 出でて はる のの にい いでて るのの,若菜 若菜摘 摘む 菜摘む
16,13,32,,いな いなば 山の の山の ばの やま やまの なばの まの,峰に 峰に生 ふる 生ふる
17,13,32,やふる ふる,神代 神代も かず 聞かず かみ よも きか きかず みよも,竜田 竜田川
18,13,31,,岸に 岸に寄 る波 寄る波 きし によ るな るなみ しによ なみ,よる よるさ へや
19,13,31,,短き 短き蘆 蘆の き蘆の みじ かき あし あしの じかき しの,ふし ふしの 間も
20,13,31,はた なにわ なる 同じ,今は 今はた なじ おなじ いま おな まはた,難波 難波な
21,13,33,こんと 言いし いいし,言ひ 言ひし りに かりに いひ しば かり ひしば,長月 長月の
22,13,31,,秋の 秋の草 木の 草木の あき のく さき さきの きのく きの,しを しをる れば
23,13,32,ちじ ちじに,ちぢ ちぢに こそ のこそ にも のこ ぢにも,悲し 悲しけ けれ しけれ
24,13,37,あえず たむけ とりあえず この度は,ぬさ ぬさも へず あへず もと りあ さもと,手向 手向山
25,13,31,,逢坂 逢坂山 山の 坂山の あふ さか やま やまの ふさか まの,さね さねか づら
26,13,31,,峰の 峰のも ぢ葉 みぢ葉 みね のも みぢ みぢば ねのも ぢば,心あ 心あら らば
27,13,32,いづみ いずみ なが,わき わきて るる 流るる てな がる がるる きてな,泉川 いづ
28,13,32,,冬ぞ 冬ぞ寂 しさ 寂しさ ふゆ ぞさ びし びしさ ゆぞさ,まさ まさり ける りける
29,13,31,,折ら 折らば らむ 折らむ をら ばや をらむ らばや,初霜 初霜の 霜の はつ しも
30,13,32,,つれ つれな えし 見えし なく みえ みえし れなく,別れ 別れよ より れより わか
31,13,31,,有明 有明の 月と の月と あり あけ のつ つきと りあけ きと,見る 見るま でに
32,13,33,しがらみ,風の 風のか たる けたる かぜ のか けた ぜのか,しが しがら みは らみは
33,13,31,のど 日に,光の 光のど けき どけき ひか りの どけ かりの,春の 春の日 の日に
34,13,31,にせん せん,知る 知る人 せむ にせむ しる ひと にせ るひと,高砂 高砂の 砂の
35,13,34,故郷は ふるさと,心も 心も知 らず 知らず ここ ろも しら しらず ころも,ふる ふるさ
36,13,31,明けぬ よい,まだ まだ宵 がら ながら よひ なが だよひ,明け るを ぬるを あけ
37,13,31,,風の 風の吹 しく きしく かぜ のふ きし ぜのふ,秋の 秋の野 野は の野は あき
38,13,32,,身を 身をば はず 思はず みを ばお もは もはず をばお,誓ひ 誓ひて てし ひてし
39,13,31,,小野 小野の 篠原 の篠原 をの のし のは のはら ののし はら,しの しのぶ れど
40,13,31,こいは いで わが恋,色に 色に出 けり にけり いろ にい でに ろにい,わが 恋は
