札番号,元のカタカナ,元のひらがな,カタカナ決まり字,ひらがな決まり字,単語数（制限なし）,総文字数（制限なし）,カタカナ決まり字パーツ,ひらがな決まり字パーツ,カタカナパーツ(1句目),ひらがなパーツ(1句目)
1,アキノタノ　カリホノイホノ　トマヲアラミ,あきのたの　かりほのいほの　とまをあらみ,アキノ,あきの,10,24,アキノ,あきの,アキ ノタ ノタノ タノ,あき のた のたの たの
2,ハルスギテ　ナツキニケラシ　　シロタエノ,はるすぎて　なつきにけらし　　しろたえの,ハルス,はるす,10,24,ハルス,はるす,ハル スギ スギテ ギテ,はる すぎ すぎて ぎて
3,アシビキノ　ヤマドリノヲノ　シダリヲノ,あしびきの　やまどりのをの　しだりをの,アシ,あし,8,18,アシ,あし,ビキ ビキノ キノ,びき びきの きの
4,タゴノウラニ　ウチイデテミレバ　シロタエノ,たごのうらに　うちいでてみれば　しろたえの,タゴ,たご,8,18,タゴ,たご,ノウ ウラニ ラニ,のう うらに らに
5,オクヤマニ　モミヂフミワケ　ナクシカノ,おくやまに　もみぢふみわけ　なくしかの,オク,おく,8,18,オク,おく,ヤマ ヤマニ マニ,やま やまに まに
6,カササギノ　ワタセルハシニ　オクシモノ,かささぎの　わたせるはしに　おくしもの,カサ,かさ,8,18,カサ,かさ,サギ サギノ ギノ,さぎ さぎの ぎの
7,アマノハラ　フリサケミレバ　カスガナル,あまのはら　ふりさけみれば　かすがなる,アマノ,あまの,10,24,アマノ,あまの,アマ ノハ ノハラ ハラ,あま のは のはら はら
8,ワガイホハ　ミヤコノタツミ　シカゾスム,わがいほは　みやこのたつみ　しかぞすむ,ワガイ,わがい,10,24,ワガイ,わがい,ワガ イホ イホハ ホハ,わが いほ いほは ほは
9,ハナノイロハ　ウツリニケリナ　イタヅラニ,はなのいろは　うつりにけりな　いたづらに,ハナノ,はなの,10,24,ハナノ,はなの,ハナ ノイ イロハ ロハ,はな のい いろは ろは
10,コレヤコノ　イクモカヘルモ　ワカレテハ,これやこの　いくもかへるも　わかれては,コレ,これ,8,18,コレ,これ,ヤコ ヤコノ コノ,やこ やこの この
11,ワタノハラ　ヤソシマカケテ　コギイデヌト,わたのはら　やそしまかけて　こぎいでぬと,ワタノハラヤ,わたのはらや,10,30,ワタノハラヤ,わたのはらや,ワタ ノハ ノハラ ハラ,わた のは のはら はら
12,アマツカゼ　クモノカヨイヂ　フキトヂヨ,あまつかぜ　くものかよひぢ　ふきとぢよ,アマツ,あまつ,10,24,アマツ,あまつ,アマ ツカ ツカゼ カゼ,あま つか つかぜ かぜ
13,ツクバネノ　ミネヨリオツル　ミナノガワ,つくばねの　みねよりおつる　みなのがは,ツク,つく,8,18,ツク,つく,バネ バネノ ネノ,ばね ばねの ねの
14,ミチノクノ　シノブモヂズリ　タレユエニ,みちのくの　しのぶもぢずり　たれゆえに,ミチ,みち,8,18,ミチ,みち,ノク ノクノ クノ,のく のくの くの
15,キミガタメ　ハルノノニイデテ　ワカナツム,きみがため　はるののにいでて　わかなつむ,キミガタメハ,きみがためは,10,30,キミガタメハ,きみがためは,キミ ガタ ガタメ タメ,きみ がた がため ため
16,タチワカレ　イナバノヤマノ　ミネニオウル,たちわかれ　いなばのやまの　みねにおうる,タチ,たち,8,18,タチ,たち,ワカ ワカレ カレ,わか わかれ かれ
17,チハヤブル　カミヨモキカズ　タツタガワ,ちはやぶる　かみよもきかず　たつたがわ,チハ,ちは,8,18,チハ,ちは,ヤブ ヤブル ブル,やぶ やぶる ぶる
18,スミノエノ　キシニヨルナミ　ヨルサエヤ,すみのえの　きしによるなみ　よるさへや,ス,す,10,20,ス,す,スミ ノエ ノエノ エノ,すみ のえ のえの えの
19,ナニワガタ　ミジカキアシノ　フシノマモ,なにはがた　みじかきあしの　ふしのまも,ナニハガ,なにはが,10,26,ナニハガ,なにはが,ナニ ワガ ワガタ ガタ,なに はが はがた がた
20,ワビヌレバ　イマハタオナジ　ナニワナル,わびぬれば　いまはたおなじ　なにわなる,ワビ,わび,8,18,ワビ,わび,ヌレ ヌレバ レバ,ぬれ ぬれば れば
21,イマコント　イイシバカリニ　ナガツキノ,いまこむと　いいしばかりに　ながつきの,イマコ,いまこ,10,24,イマコ,いまこ,イマ コン コント ント,いま こむ こむと むと
22,フクカラニ　アキノクサキノ　シオルレバ,ふくからに　あきのくさきの　しをるれば,フ,ふ,10,20,フ,ふ,フク カラ カラニ ラニ,ふく から からに らに
23,ツキミレバ　チヂニモノコソ　カナシケレ,つきみれば　ちぢにものこそ　かなしけれ,ツキ,つき,8,18,ツキ,つき,ミレ ミレバ レバ,みれ みれば れば
24,コノタビハ　ヌサモトリアヘズ　タムケヤマ,このたびは　ぬさもとりあへず　たむけやま,コノ,この,8,18,コノ,この,タビ タビハ ビハ,たび たびは びは
25,ナニシオワバ　オオサカヤマノ　サネカヅラ,なにしおはば　あふさかやまの　さねかづら,ナニシ,なにし,10,24,ナニシ,なにし,ナニ シオ オワバ ワバ,なに しお おはば はば
26,オグラヤマ　ミネノモミヂバ　ココロアラバ,をぐらやま　みねのもみぢば　こころあらば,ヲグ,おぐ,10,22,ヲグ,おぐ,オグ ラヤ ラヤマ ヤマ,をぐ らや らやま やま
27,ミカノハラ　ワキテナガルル　イヅミガワ,みかのはら　わきてながるる　いづみがは,ミカノ,みかの,10,24,ミカノ,みかの,ミカ ノハ ノハラ ハラ,みか のは のはら はら
28,ヤマザトハ　フユゾサビシサ　マサリケル,やまざとは　ふゆぞさびしさ　まさりける,ヤマザ,やまざ,10,24,ヤマザ,やまざ,ヤマ ザト ザトハ トハ,やま ざと ざとは とは
29,ココロアテニ　オラバヤヲラム　ハツシモノ,こころあてに　をらばやをらむ　はつしもの,ココロア,こころあ,10,26,ココロア,こころあ,ココ ロア アテニ テニ,ここ ろあ あてに てに
30,アリアケノ　ツレナクミエシ　ワカレヨリ,ありあけの　つれなくみえし　わかれより,アリア,ありあ,10,24,アリア,ありあ,アリ アケ アケノ ケノ,あり あけ あけの けの
31,アサボラケ　アリアケノツキト　ミルマデニ,あさぼらけ　ありあけのつきと　みるまでに,アサボラケア,あさぼらけあ,10,30,アサボラケア,あさぼらけあ,アサ ボラ ボラケ ラケ,あさ ぼら ぼらけ らけ
32,ヤマガワニ　カゼノカケタル　シガラミハ,やまがわに　かぜのかけたる　しがらみは,ヤマガ,やまが,10,24,ヤマガ,やまが,ヤマ ガワ ガワニ ワニ,やま がわ がわに わに
33,ヒサカタノ　ヒカリノドケキ　ハルノヒニ,ひさかたの　ひかりのどけき　はるのひに,ヒサ,ひさ,8,18,ヒサ,ひさ,カタ カタノ タノ,かた かたの たの
34,タレヲカモ　シルヒトニセン　タカサゴノ,たれをかも　しるひとにせむ　たかさごの,タレ,たれ,8,18,タレ,たれ,ヲカ ヲカモ カモ,をか をかも かも
35,ヒトワイサ　ココロモシラズ　フルサトハ,ひとはいさ　こころもしらず　ふるさとは,ヒトハ,ひとは,10,24,ヒトハ,ひとは,ヒト ワイ ワイサ イサ,ひと はい はいさ いさ
36,ナツノヨワ　マダヨイナガラ　アケヌルヲ,なつのよは　まだよひながら　あけぬるを,ナツ,なつ,8,18,ナツ,なつ,ノヨ ノヨワ ヨワ,のよ のよは よは
37,シラツユニ　カゼノフキシク　アキノノハ,しらつゆに　かぜのふきしく　あきののは,シラ,しら,8,18,シラ,しら,ツユ ツユニ ユニ,つゆ つゆに ゆに
38,ワスラルル　ミヲバオモハズ　チカイテシ,わすらるる　みをばおもはず　ちかひてし,ワスラ,わすら,10,24,ワスラ,わすら,ワス ラル ラルル ルル,わす らる らるる るる
39,アサジフノ　ヲノノシノハラ　シノブレド,あさぢふの　をののしのはら　しのぶれど,アサヂ,あさじ,10,24,アサヂ,あさじ,アサ ジフ ジフノ フノ,あさ ぢふ ぢふの ふの
40,シノブレド　イロニイデニケリ　ワガコイワ,しのぶれど　いろにいでにけり　わがこひは,シノ,しの,8,18,シノ,しの,ブレ ブレド レド,ぶれ ぶれど れど
41,コイスチョウ　ワガナワマダキ　タチニケリ,こひすてふ　わがなはまだき　たちにけり,コヒ,こい,10,22,コヒ,こい,コイ スチ チョウ ョウ,こひ すて すてふ てふ
42,チギリキナ　カタミニソデヲ　シボリツツ,ちぎりきな　かたみにそでを　しぼりつつ,チギリキ,ちぎりき,10,26,チギリキ,ちぎりき,チギ リキ リキナ キナ,ちぎ りき りきな きな
43,アイミテノ　ノチノココロニ　クラブレバ,あひみての　のちのこころに　くらぶれば,アイ,あい,9,20,アイ,あい,ミテ ミテノ テノ,あひ みて みての ての
44,オオコトノ　タエテシナクハ　ナカナカニ,あふことの　たえてしなくは　なかなかに,オオコ,おおこ,10,24,オオコ,おおこ,オオ コト コトノ トノ,あふ こと ことの との
45,アワレトモ　イウベキヒトワ　オモオエデ,あはれとも　いふべきひとは　おもおえで,アワレ,あわれ,10,24,アワレ,あわれ,アワ レト レトモ トモ,あは れと れとも とも
46,ユラノトヲ　ワタルフナビト　カヂヲタエ,ゆらのとを　わたるふなびと　かぢをたえ,ユラ,ゆら,8,18,ユラ,ゆら,ノト ノトヲ トヲ,のと のとを とを
47,ヤエムグラ　シゲレルヤドノ　サビシキニ,やへむぐら　しげれるやどの　さびしきに,ヤエ,やえ,9,20,ヤエ,やえ,ムグ ムグラ グラ,やへ むぐ むぐら ぐら
48,カゼヲイタミ　イワウツナミノ　オノレノミ,かぜをいたみ　いはうつなみの　おのれのみ,カゼヲ,かぜを,10,24,カゼヲ,かぜを,カゼ ヲイ イタミ タミ,かぜ をい いたみ たみ
49,ミカキモリ　エジノタクヒノ　ヨルハモエ,みかきもり　ゑじのたくひの　よるはもえ,ミカキ,みかき,10,24,ミカキ,みかき,ミカ キモ キモリ モリ,みか きも きもり もり
50,キミガタメ　オシカラザリシ　イノチサヘ,きみがため　をしからざりし　いのちさへ,キミガタメヲ,きみがためを,10,30,キミガタメヲ,きみがためを,キミ ガタ ガタメ タメ,きみ がた がため ため
51,カクトダニ　エヤワイブキノ　サシモグサ,かくとだに　えやはいぶきの　さしもぐさ,カク,かく,8,18,カク,かく,トダ トダニ ダニ,とだ とだに だに
52,アケヌレバ　クルルモノトハ　シリナガラ,あけぬれば　くるるものとは　しりながら,アケ,あけ,8,18,アケ,あけ,ヌレ ヌレバ レバ,ぬれ ぬれば れば
53,ナゲキツツ　ヒトリネルヨノ　アクルマワ,なげきつつ　ひとりねるよの　あくるまは,ナゲキ,なげき,10,24,ナゲキ,なげき,ナゲ キツ キツツ ツツ,なげ きつ きつつ つつ
54,ワスレジノ　ユクスエマデハ　カタケレバ,わすれじの　ゆくすえまでは　かたければ,ワスレ,わすれ,10,24,ワスレ,わすれ,ワス レジ レジノ ジノ,わす れじ れじの じの
55,タキノオトワ　タエテヒサシク　ナリヌレド,たきのおとは　たえてひさしく　なりぬれど,タキ,たき,8,18,タキ,たき,ノオ オトワ トワ,のお おとは とは
56,アラザラン　コノヨノホカノ　オモイデニ,あらざらむ　このよのほかの　おもひでに,アラザ,あらざ,10,24,アラザ,あらざ,アラ ザラ ザラン ラン,あら ざら ざらむ らむ
57,メグリアイテ　ミシヤソレトモ　ワカヌマニ,めぐりあひて　みしやそれとも　わかぬまに,メ,め,10,20,メ,め,メグ リア アイテ イテ,めぐ りあ あひて ひて
