札番号,元のカタカナ,元のひらがな,カタカナ決まり字,ひらがな決まり字,単語数（制限なし）,総文字数（制限なし）,カタカナ決まり字パーツ,ひらがな決まり字パーツ,カタカナパーツ(1句目),ひらがなパーツ(1句目),カタカナパーツ(2句目),ひらがなパーツ(2句目)
1,アキノタノ　カリホノイホノ　トマヲアラミ,あきのたの　かりほのいほの　とまをあらみ,アキノ,あきの,14,34,アキノ,あきの,アキ ノタ ノタノ タノ,あき のた のたの たの,カリ カリホ,かり かりほ
2,ハルスギテ　ナツキニケラシ　　シロタエノ,はるすぎて　なつきにけらし　　しろたえの,ハルス,はるす,14,34,ハルス,はるす,ハル スギ スギテ ギテ,はる すぎ すぎて ぎて,ナツ ナツキ,なつ なつき
3,アシビキノ　ヤマドリノヲノ　シダリヲノ,あしびきの　やまどりのをの　しだりをの,アシ,あし,12,28,アシ,あし,ビキ ビキノ キノ,びき びきの きの,ヤマ ヤマド,やま やまど
4,タゴノウラニ　ウチイデテミレバ　シロタエノ,たごのうらに　うちいでてみれば　しろたえの,タゴ,たご,12,28,タゴ,たご,ノウ ウラニ ラニ,のう うらに らに,ウチ ウチイ,うち うちい
5,オクヤマニ　モミヂフミワケ　ナクシカノ,おくやまに　もみぢふみわけ　なくしかの,オク,おく,12,28,オク,おく,ヤマ ヤマニ マニ,やま やまに まに,モミ モミヂ,もみ もみぢ
6,カササギノ　ワタセルハシニ　オクシモノ,かささぎの　わたせるはしに　おくしもの,カサ,かさ,12,28,カサ,かさ,サギ サギノ ギノ,さぎ さぎの ぎの,ワタ ワタセ,わた わたせ
7,アマノハラ　フリサケミレバ　カスガナル,あまのはら　ふりさけみれば　かすがなる,アマノ,あまの,14,34,アマノ,あまの,アマ ノハ ノハラ ハラ,あま のは のはら はら,フリ フリサ,ふり ふりさ
8,ワガイホハ　ミヤコノタツミ　シカゾスム,わがいほは　みやこのたつみ　しかぞすむ,ワガイ,わがい,14,34,ワガイ,わがい,ワガ イホ イホハ ホハ,わが いほ いほは ほは,ミヤ ミヤコ,みや みやこ
9,ハナノイロハ　ウツリニケリナ　イタヅラニ,はなのいろは　うつりにけりな　いたづらに,ハナノ,はなの,14,34,ハナノ,はなの,ハナ ノイ イロハ ロハ,はな のい いろは ろは,ウツ ウツリ,うつ うつり
10,コレヤコノ　イクモカヘルモ　ワカレテハ,これやこの　いくもかへるも　わかれては,コレ,これ,12,28,コレ,これ,ヤコ ヤコノ コノ,やこ やこの この,イク イクモ,いく いくも
11,ワタノハラ　ヤソシマカケテ　コギイデヌト,わたのはら　やそしまかけて　こぎいでぬと,ワタノハラヤ,わたのはらや,14,40,ワタノハラヤ,わたのはらや,ワタ ノハ ノハラ ハラ,わた のは のはら はら,ヤソ ヤソシ,やそ やそし
12,アマツカゼ　クモノカヨイヂ　フキトヂヨ,あまつかぜ　くものかよひぢ　ふきとぢよ,アマツ,あまつ,14,34,アマツ,あまつ,アマ ツカ ツカゼ カゼ,あま つか つかぜ かぜ,クモ クモノ,くも くもの
13,ツクバネノ　ミネヨリオツル　ミナノガワ,つくばねの　みねよりおつる　みなのがは,ツク,つく,12,28,ツク,つく,バネ バネノ ネノ,ばね ばねの ねの,ミネ ミネヨ,みね みねよ
14,ミチノクノ　シノブモヂズリ　タレユエニ,みちのくの　しのぶもぢずり　たれゆえに,ミチ,みち,12,28,ミチ,みち,ノク ノクノ クノ,のく のくの くの,シノ シノブ,しの しのぶ
15,キミガタメ　ハルノノニイデテ　ワカナツム,きみがため　はるののにいでて　わかなつむ,キミガタメハ,きみがためは,14,40,キミガタメハ,きみがためは,キミ ガタ ガタメ タメ,きみ がた がため ため,ハル ハルノ,はる はるの
16,タチワカレ　イナバノヤマノ　ミネニオウル,たちわかれ　いなばのやまの　みねにおうる,タチ,たち,12,28,タチ,たち,ワカ ワカレ カレ,わか わかれ かれ,イナ イナバ,いな いなば
17,チハヤブル　カミヨモキカズ　タツタガワ,ちはやぶる　かみよもきかず　たつたがわ,チハ,ちは,12,28,チハ,ちは,ヤブ ヤブル ブル,やぶ やぶる ぶる,カミ カミヨ,かみ かみよ
18,スミノエノ　キシニヨルナミ　ヨルサエヤ,すみのえの　きしによるなみ　よるさへや,ス,す,14,30,ス,す,スミ ノエ ノエノ エノ,すみ のえ のえの えの,キシ キシニ,きし きしに
19,ナニワガタ　ミジカキアシノ　フシノマモ,なにはがた　みじかきあしの　ふしのまも,ナニハガ,なにはが,14,36,ナニハガ,なにはが,ナニ ワガ ワガタ ガタ,なに はが はがた がた,ミジ ミジカ,みじ みじか
20,ワビヌレバ　イマハタオナジ　ナニワナル,わびぬれば　いまはたおなじ　なにわなる,ワビ,わび,12,28,ワビ,わび,ヌレ ヌレバ レバ,ぬれ ぬれば れば,イマ イマハ,いま いまは
21,イマコント　イイシバカリニ　ナガツキノ,いまこむと　いいしばかりに　ながつきの,イマコ,いまこ,14,34,イマコ,いまこ,イマ コン コント ント,いま こむ こむと むと,イイ イイシ,いい いいし
22,フクカラニ　アキノクサキノ　シオルレバ,ふくからに　あきのくさきの　しをるれば,フ,ふ,14,30,フ,ふ,フク カラ カラニ ラニ,ふく から からに らに,アキ アキノ,あき あきの
23,ツキミレバ　チヂニモノコソ　カナシケレ,つきみれば　ちぢにものこそ　かなしけれ,ツキ,つき,12,28,ツキ,つき,ミレ ミレバ レバ,みれ みれば れば,チヂ チヂニ,ちぢ ちぢに
24,コノタビハ　ヌサモトリアヘズ　タムケヤマ,このたびは　ぬさもとりあへず　たむけやま,コノ,この,12,28,コノ,この,タビ タビハ ビハ,たび たびは びは,ヌサ ヌサモ,ぬさ ぬさも
25,ナニシオワバ　オオサカヤマノ　サネカヅラ,なにしおはば　あふさかやまの　さねかづら,ナニシ,なにし,14,34,ナニシ,なにし,ナニ シオ オワバ ワバ,なに しお おはば はば,オオ オオサ,あふ あふさ
26,オグラヤマ　ミネノモミヂバ　ココロアラバ,をぐらやま　みねのもみぢば　こころあらば,ヲグ,おぐ,14,32,ヲグ,おぐ,オグ ラヤ ラヤマ ヤマ,をぐ らや らやま やま,ミネ ミネノ,みね みねの
27,ミカノハラ　ワキテナガルル　イヅミガワ,みかのはら　わきてながるる　いづみがは,ミカノ,みかの,14,34,ミカノ,みかの,ミカ ノハ ノハラ ハラ,みか のは のはら はら,ワキ ワキテ,わき わきて
28,ヤマザトハ　フユゾサビシサ　マサリケル,やまざとは　ふゆぞさびしさ　まさりける,ヤマザ,やまざ,14,34,ヤマザ,やまざ,ヤマ ザト ザトハ トハ,やま ざと ざとは とは,フユ フユゾ,ふゆ ふゆぞ
29,ココロアテニ　オラバヤヲラム　ハツシモノ,こころあてに　をらばやをらむ　はつしもの,ココロア,こころあ,14,36,ココロア,こころあ,ココ ロア アテニ テニ,ここ ろあ あてに てに,オラ オラバ,をら をらば
30,アリアケノ　ツレナクミエシ　ワカレヨリ,ありあけの　つれなくみえし　わかれより,アリア,ありあ,14,34,アリア,ありあ,アリ アケ アケノ ケノ,あり あけ あけの けの,ツレ ツレナ,つれ つれな
31,アサボラケ　アリアケノツキト　ミルマデニ,あさぼらけ　ありあけのつきと　みるまでに,アサボラケア,あさぼらけあ,14,40,アサボラケア,あさぼらけあ,アサ ボラ ボラケ ラケ,あさ ぼら ぼらけ らけ,アリ アリア,あり ありあ
32,ヤマガワニ　カゼノカケタル　シガラミハ,やまがわに　かぜのかけたる　しがらみは,ヤマガ,やまが,14,34,ヤマガ,やまが,ヤマ ガワ ガワニ ワニ,やま がわ がわに わに,カゼ カゼノ,かぜ かぜの
33,ヒサカタノ　ヒカリノドケキ　ハルノヒニ,ひさかたの　ひかりのどけき　はるのひに,ヒサ,ひさ,12,28,ヒサ,ひさ,カタ カタノ タノ,かた かたの たの,ヒカ ヒカリ,ひか ひかり
34,タレヲカモ　シルヒトニセン　タカサゴノ,たれをかも　しるひとにせむ　たかさごの,タレ,たれ,12,28,タレ,たれ,ヲカ ヲカモ カモ,をか をかも かも,シル シルヒ,しる しるひ
35,ヒトワイサ　ココロモシラズ　フルサトハ,ひとはいさ　こころもしらず　ふるさとは,ヒトハ,ひとは,14,34,ヒトハ,ひとは,ヒト ワイ ワイサ イサ,ひと はい はいさ いさ,ココ ココロ,ここ こころ
36,ナツノヨワ　マダヨイナガラ　アケヌルヲ,なつのよは　まだよひながら　あけぬるを,ナツ,なつ,12,28,ナツ,なつ,ノヨ ノヨワ ヨワ,のよ のよは よは,マダ マダヨ,まだ まだよ
37,シラツユニ　カゼノフキシク　アキノノハ,しらつゆに　かぜのふきしく　あきののは,シラ,しら,12,28,シラ,しら,ツユ ツユニ ユニ,つゆ つゆに ゆに,カゼ カゼノ,かぜ かぜの
38,ワスラルル　ミヲバオモハズ　チカイテシ,わすらるる　みをばおもはず　ちかひてし,ワスラ,わすら,14,34,ワスラ,わすら,ワス ラル ラルル ルル,わす らる らるる るる,ミヲ ミヲバ,みを みをば
39,アサジフノ　ヲノノシノハラ　シノブレド,あさぢふの　をののしのはら　しのぶれど,アサヂ,あさじ,14,34,アサヂ,あさじ,アサ ジフ ジフノ フノ,あさ ぢふ ぢふの ふの,ヲノ ヲノノ,をの をのの
40,シノブレド　イロニイデニケリ　ワガコイワ,しのぶれど　いろにいでにけり　わがこひは,シノ,しの,12,28,シノ,しの,ブレ ブレド レド,ぶれ ぶれど れど,イロ イロニ,いろ いろに
41,コイスチョウ　ワガナワマダキ　タチニケリ,こひすてふ　わがなはまだき　たちにけり,コヒ,こい,14,32,コヒ,こい,コイ スチ チョウ ョウ,こひ すて すてふ てふ,ワガ ワガナ,わが わがな
42,チギリキナ　カタミニソデヲ　シボリツツ,ちぎりきな　かたみにそでを　しぼりつつ,チギリキ,ちぎりき,14,36,チギリキ,ちぎりき,チギ リキ リキナ キナ,ちぎ りき りきな きな,カタ カタミ,かた かたみ
43,アイミテノ　ノチノココロニ　クラブレバ,あひみての　のちのこころに　くらぶれば,アイ,あい,13,30,アイ,あい,ミテ ミテノ テノ,あひ みて みての ての,ノチ ノチノ,のち のちの
