札番号,元の漢字,元のひらがな,元の現代語,単語数（制限なし）,総文字数（制限なし）,決まり字,現代語発音（全体）,漢字パーツ(1句目),ひらがなパーツ(1句目)
1,秋の田の　かりほの庵の　苫をあらみ,あきのたの　かりほのいほの　とまをあらみ,,9,22,あきの,,秋の 秋の田 田の の田の,あき のた のたの たの
2,春過ぎて　夏来にけらし　　白妙の,はるすぎて　なつきにけらし　　しろたへの,,8,20,はるす,,春過 春過ぎ ぎて 過ぎて,はる すぎ すぎて
3,あしびきの　山鳥の尾の　しだり尾の,あしびきの　やまどりのをの　しだりをの,,5,12,あし,,あしび きの びきの,びき
4,田子の浦に　うち出でて見れば　白妙の,たごのうらに　うちいでてみれば　しろたへの,,8,19,たご,,田子 田子の 浦に の浦に,のう うらに らに
5,奥山に　紅葉踏み分け　鳴く鹿の,おくやまに　もみぢふみわけ　なくしかの,,7,16,おく,,奥山 奥山に 山に,やま やまに まに
6,鵲の　渡せる橋に　置く霜の,かささぎの　わたせるはしに　おくしもの,,5,11,かさ,,鵲の,さぎ さぎの ぎの
7,天の原　ふりさけ見れば　春日なる,あまのはら　ふりさけみれば　かすがなる,,8,19,あまの,,天の 天の原 の原,あま のは のはら はら
8,わが庵は　都の辰巳　しかぞ住む,わがいほは　みやこのたつみ　しかぞすむ,,8,20,わがい,,わが わが庵 庵は が庵は,いほ いほは ほは
9,花の色は　移りにけりな　いたづらに,はなのいろは　うつりにけりな　いたづらに,,9,22,はなの,,花の 花の色 色は の色は,はな のい いろは ろは
10,これやこの　行くも帰るも　別れては,これやこの　いくもかへるも　わかれては,,5,12,これ,,これや この やこの,やこ
11,わたの原　八十島かけて　漕ぎ出でぬと,わたのはら　やそしまかけて　こぎいでぬと,,8,23,わたのはらや,,わた わたの の原 たの原,のは のはら はら
12,天つ風　雲の通ひ路　吹き閉ぢよ,あまつかぜ　くものかよひぢ　ふきとぢよ,,8,19,あまつ,,天つ 天つ風 つ風,あま つか つかぜ かぜ
13,筑波嶺の　峰より落つる　男女川,つくばねの　みねよりおつる　みなのがは,,8,19,つく,,筑波 筑波嶺 嶺の 波嶺の,ばね ばねの ねの
14,陸奥の　しのぶもぢずり　誰ゆゑに,みちのくの　しのぶもぢずり　たれゆゑに,,7,16,みち,,陸奥 陸奥の 奥の,のく のくの くの
15,君がため　春の野に出でて　若菜摘む,きみがため　はるののにいでて　わかなつむ,,7,20,きみがためは,,君が 君がた ため がため,きみ がた
16,立ち別れ　いなばの山の　峰に生ふる,たちわかれ　いなばのやまの　みねにおふる,,8,19,たち,,立ち 立ち別 別れ ち別れ,わか わかれ かれ
17,ちはやぶる　神代も聞かず　竜田川,ちはやぶる　かみよもきかず　たつたがわ,,5,12,ちは,,ちはや ぶる やぶる,やぶ
18,住の江の　岸に寄る波　よるさへや,すみのえの　きしによるなみ　よるさへや,,9,20,す,,住の 住の江 江の の江の,すみ のえ のえの えの
19,難波潟　短き蘆の　ふしの間も,なにはがた　みじかきあしの　ふしのまも,,8,20,なにはが,,難波 難波潟 波潟,なに はが はがた がた
20,わびぬれば　今はたおなじ　難波なる,わびぬれば　いまはたおなじ　なにはなる,,5,12,わび,,わびぬ れば ぬれば,ぬれ
21,今来むと　言ひしばかりに　長月の,いまこむと　いひしばかりに　ながつきの,,8,20,いまこ,,今来 今来む むと 来むと,いま こむ こむと
22,吹くからに　秋の草木の　しをるれば,ふくからに　あきのくさきの　しをるれば,,7,15,ふ,,吹く 吹くか らに からに,ふく から
23,月見れば　ちぢにものこそ　悲しけれ,つきみれば　ちぢにものこそ　かなしけれ,,7,17,つき,,月見 月見れ れば 見れば,みれ みれば
24,このたびは　ぬさも取りあへず　手向山,このたびは　ぬさもとりあへず　たむけやま,,5,12,この,,このた びは たびは,たび
25,名にし負はば　逢坂山の　さねかづら,なにしおはば　あふさかやまの　さねかづら,,8,20,なにし,,名に 名にし はば 負はば,なに しお おはば
26,小倉山　峰のもみぢ葉　心あらば,をぐらやま　みねのもみぢば　こころあらば,おぐ,8,18,をぐ,おぐ,小倉 小倉山 倉山,らや らやま やま
27,みかの原　わきて流るる　泉川,みかのはら　わきてながるる　いづみがは,,7,17,みかの,,みか の原 かの原,のは のはら はら
28,山里は　冬ぞ寂しさ　まさりける,やまざとは　ふゆぞさびしさ　まさりける,,8,19,やまざ,,山里 山里は 里は,やま ざと ざとは とは
29,心あてに　折らばや折らむ　初霜の,こころあてに　をらばやをらむ　はつしもの,,7,18,こころあ,,心あ 心あて てに あてに,ここ ろあ
30,有明の　つれなく見えし　別れより,ありあけの　つれなくみえし　わかれより,,8,19,ありあ,,有明 有明の 明の,あり あけ あけの けの
31,朝ぼらけ　有明の月と　見るまでに,あさぼらけ　ありあけのつきと　みるまでに,,7,20,あさぼらけあ,,朝ぼ 朝ぼら らけ ぼらけ,あさ ぼら
32,山川に　風のかけたる　しがらみは,やまがわに　かぜのかけたる　しがらみは,,8,19,やまが,,山川 山川に 川に,やま がわ がわに わに
33,ひさかたの　光のどけき　春の日に,ひさかたの　ひかりのどけき　はるのひに,,5,12,ひさ,,ひさか たの かたの,かた
34,誰をかも　知る人にせむ　高砂の,たれをかも　しるひとにせむ　たかさごの,,6,14,たれ,,誰を 誰をか かも をかも,をか
35,人はいさ　心も知らず　ふるさとは,ひとはいさ　こころもしらず　ふるさとは,,7,17,ひとは,,人は 人はい いさ はいさ,ひと はい
36,夏の夜は　まだ宵ながら　明けぬるを,なつのよは　まだよひながら　あけぬるを,,8,19,なつ,,夏の 夏の夜 夜は の夜は,のよ のよは よは
37,白露に　風の吹きしく　秋の野は,しらつゆに　かぜのふきしく　あきののは,,7,16,しら,,白露 白露に 露に,つゆ つゆに ゆに
38,忘らるる　身をば思はず　誓ひてし,わすらるる　みをばおもはず　ちかひてし,,7,17,わすら,,忘ら 忘らる るる らるる,わす らる
39,浅茅生の　小野の篠原　しのぶれど,あさぢふの　をののしのはら　しのぶれど,あさじ,10,25,あさぢ,あさじ,浅茅 浅茅生 生の 茅生の,あさ ぢふ ぢふの ふの
40,しのぶれど　色に出でにけり　わが恋は,しのぶれど　いろにいでにけり　わがこひは,,5,12,しの,,しのぶ れど ぶれど,ぶれ
41,恋すてふ　わが名はまだき　立ちにけり,こひすてふ　わがなはまだき　たちにけり,こい,7,16,こひ,こい,恋す 恋すて てふ すてふ,すて
42,契りきな　かたみに袖を　しぼりつつ,ちぎりきな　かたみにそでを　しぼりつつ,,7,18,ちぎりき,,契り 契りき きな りきな,ちぎ りき
43,逢ひ見ての　のちの心に　くらぶれば,あひみての　のちのこころに　くらぶれば,あい,8,19,あひ,あい,逢ひ 逢ひ見 ての 見ての,みて みての
44,逢ふことの　絶えてしなくは　なかなかに,あふことの　たえてしなくは　なかなかに,おおこ,8,20,あふこ,おおこ,逢ふ 逢ふこ との ことの,あふ こと
45,あはれとも　いふべき人は　思おえで,あはれとも　いふべきひとは　おもおえで,あわれ,6,15,あはれ,あわれ,あは とも れとも,れと
46,由良の門を　渡る舟人　かぢを絶え,ゆらのとを　わたるふなびと　かぢをたえ,,8,19,ゆら,,由良 由良の 門を の門を,のと のとを とを
47,八重むぐら　しげれる宿の　さびしきに,やへむぐら　しげれるやどの　さびしきに,やえ,7,16,やへ,やえ,八重 八重む ぐら むぐら,むぐ
48,風をいたみ　岩うつ波の　おのれのみ,かぜをいたみ　いはうつなみの　おのれのみ,,7,17,かぜを,,風を 風をい たみ いたみ,かぜ をい
49,御垣守　衛士のたく火の　夜は燃え,みかきもり　ゑじのたくひの　よるはもえ,,8,19,みかき,,御垣 御垣守 垣守,みか きも きもり もり
50,君がため　惜しからざりし　命さへ,きみがため　をしからざりし　いのちさへ,,7,20,きみがためを,,君が 君がた ため がため,きみ がた
51,かくとだに　えやは伊吹の　さしも草,かくとだに　えやはいぶきの　さしもぐさ,,5,12,かく,,かくと だに とだに,とだ
