札番号,元の漢字,元のひらがな,元の現代語,単語数,総文字数（満点）,決まり字,現代語発音（全体）,漢字パーツ(1句目),ひらがなパーツ(1句目)
1,秋の田の　かりほの庵の　苫をあらみ,あきのたの　かりほのいほの　とまをあらみ,,5,13,あきの,,秋の 秋の田 田の の田の,
2,春過ぎて　夏来にけらし　　白妙の,はるすぎて　なつきにけらし　　しろたへの,,5,13,はるす,,春過 春過ぎ ぎて 過ぎて,
3,あしびきの　山鳥の尾の　しだり尾の,あしびきの　やまどりのをの　しだりをの,,5,12,あし,,あしび きの びきの,びき
4,田子の浦に　うち出でて見れば　白妙の,たごのうらに　うちいでてみれば　しろたへの,,5,12,たご,,田子 田子の 浦に の浦に,
5,奥山に　紅葉踏み分け　鳴く鹿の,おくやまに　もみぢふみわけ　なくしかの,,5,11,おく,,奥山 奥山に 山に,やま
6,鵲の　渡せる橋に　置く霜の,かささぎの　わたせるはしに　おくしもの,,5,11,かさ,,鵲の,さぎ さぎの ぎの
7,天の原　ふりさけ見れば　春日なる,あまのはら　ふりさけみれば　かすがなる,,5,12,あまの,,天の 天の原 の原,あま
8,わが庵は　都の辰巳　しかぞ住む,わがいほは　みやこのたつみ　しかぞすむ,,5,13,わがい,,わが わが庵 庵は が庵は,
9,花の色は　移りにけりな　いたづらに,はなのいろは　うつりにけりな　いたづらに,,5,13,はなの,,花の 花の色 色は の色は,
10,これやこの　行くも帰るも　別れては,これやこの　いくもかへるも　わかれては,,5,12,これ,,これや この やこの,やこ
11,わたの原　八十島かけて　漕ぎ出でぬと,わたのはら　やそしまかけて　こぎいでぬと,,5,16,わたのはらや,,わた わたの の原 たの原,
12,天つ風　雲の通ひ路　吹き閉ぢよ,あまつかぜ　くものかよひぢ　ふきとぢよ,,5,12,あまつ,,天つ 天つ風 つ風,あま
13,筑波嶺の　峰より落つる　男女川,つくばねの　みねよりおつる　みなのがは,,5,12,つく,,筑波 筑波嶺 嶺の 波嶺の,
14,陸奥の　しのぶもぢずり　誰ゆゑに,みちのくの　しのぶもぢずり　たれゆゑに,,5,11,みち,,陸奥 陸奥の 奥の,のく
15,君がため　春の野に出でて　若菜摘む,きみがため　はるののにいでて　わかなつむ,,5,16,きみがためは,,君が 君がた ため がため,
16,立ち別れ　いなばの山の　峰に生ふる,たちわかれ　いなばのやまの　みねにおふる,,5,12,たち,,立ち 立ち別 別れ ち別れ,
17,ちはやぶる　神代も聞かず　竜田川,ちはやぶる　かみよもきかず　たつたがわ,,5,12,ちは,,ちはや ぶる やぶる,やぶ
18,住の江の　岸に寄る波　よるさへや,すみのえの　きしによるなみ　よるさへや,,5,11,す,,住の 住の江 江の の江の,
19,難波潟　短き蘆の　ふしの間も,なにはがた　みじかきあしの　ふしのまも,,5,13,なにはが,,難波 難波潟 波潟,なに
20,わびぬれば　今はたおなじ　難波なる,わびぬれば　いまはたおなじ　なにはなる,,5,12,わび,,わびぬ れば ぬれば,ぬれ
21,今来むと　言ひしばかりに　長月の,いまこむと　いひしばかりに　ながつきの,,5,13,いまこ,,今来 今来む むと 来むと,
22,吹くからに　秋の草木の　しをるれば,ふくからに　あきのくさきの　しをるれば,,5,11,ふ,,吹く 吹くか らに からに,
23,月見れば　ちぢにものこそ　悲しけれ,つきみれば　ちぢにものこそ　かなしけれ,,5,12,つき,,月見 月見れ れば 見れば,
24,このたびは　ぬさも取りあへず　手向山,このたびは　ぬさもとりあへず　たむけやま,,5,12,この,,このた びは たびは,たび
25,名にし負はば　逢坂山の　さねかづら,なにしおはば　あふさかやまの　さねかづら,,5,13,なにし,,名に 名にし はば 負はば,
26,小倉山　峰のもみぢ葉　心あらば,をぐらやま　みねのもみぢば　こころあらば,おぐ,5,11,をぐ,おぐ,小倉 小倉山 倉山,
27,みかの原　わきて流るる　泉川,みかのはら　わきてながるる　いづみがは,,5,12,みかの,,みか の原 かの原,のは
28,山里は　冬ぞ寂しさ　まさりける,やまざとは　ふゆぞさびしさ　まさりける,,5,12,やまざ,,山里 山里は 里は,やま
29,心あてに　折らばや折らむ　初霜の,こころあてに　をらばやをらむ　はつしもの,,5,14,こころあ,,心あ 心あて てに あてに,
30,有明の　つれなく見えし　別れより,ありあけの　つれなくみえし　わかれより,,5,12,ありあ,,有明 有明の 明の,あり
31,朝ぼらけ　有明の月と　見るまでに,あさぼらけ　ありあけのつきと　みるまでに,,5,16,あさぼらけあ,,朝ぼ 朝ぼら らけ ぼらけ,
32,山川に　風のかけたる　しがらみは,やまがわに　かぜのかけたる　しがらみは,,5,12,やまが,,山川 山川に 川に,やま
33,ひさかたの　光のどけき　春の日に,ひさかたの　ひかりのどけき　はるのひに,,5,12,ひさ,,ひさか たの かたの,かた
34,誰をかも　知る人にせむ　高砂の,たれをかも　しるひとにせむ　たかさごの,,5,12,たれ,,誰を 誰をか かも をかも,
