札番号,元の漢字,元のひらがな,元の現代語,単語数（制限なし）,総文字数（制限なし）,決まり字,現代語発音（全体）,漢字パーツ(1句目),ひらがなパーツ(1句目),手動追加単語
1,秋の田の　かりほの庵の　苫をあらみ,あきのたの　かりほのいほの　とまをあらみ,,10,25,あきの,,秋の 秋の田 田の の田の,あき のた のたの たの,かりほ
2,春過ぎて　夏来にけらし　　白妙の,はるすぎて　なつきにけらし　　しろたへの,,10,25,はるす,,春過 春過ぎ ぎて 過ぎて,はる すぎ すぎて,春すぎ 春す
3,あしびきの　山鳥の尾の　しだり尾の,あしびきの　やまどりのをの　しだりをの,,10,25,あし,,あしび きの びきの,びき,ビキ アシ 足びき 引きの しびき
4,田子の浦に　うち出でて見れば　白妙の,たごのうらに　うちいでてみれば　しろたへの,,10,25,たご,,田子 田子の 浦に の浦に,のう うらに らに,たごの のうら
5,奥山に　紅葉踏み分け　鳴く鹿の,おくやまに　もみぢふみわけ　なくしかの,,10,25,おく,,奥山 奥山に 山に,やま やまに まに,おくやま おくや 紅葉
6,鵲の　渡せる橋に　置く霜の,かささぎの　わたせるはしに　おくしもの,,10,25,かさ,,鵲の,さぎ さぎの ぎの,カサ かささ 傘さぎ 笠さぎ 嵩さぎ
7,天の原　ふりさけ見れば　春日なる,あまのはら　ふりさけみれば　かすがなる,,10,25,あまの,,天の 天の原 の原,あま のは のはら はら,天野原 天ノ原
8,わが庵は　都の辰巳　しかぞ住む,わがいほは　みやこのたつみ　しかぞすむ,,10,25,わがい,,わが わが庵 庵は が庵は,いほ いほは ほは,我が いよは
9,花の色は　移りにけりな　いたづらに,はなのいろは　うつりにけりな　いたづらに,,10,25,はなの,,花の 花の色 色は の色は,はな のい いろは ろは,ハナノ
10,これやこの　行くも帰るも　別れては,これやこの　いくもかへるも　わかれては,,10,25,これ,,これや この やこの,やこ,之や コレ ヤコノ ぬさも 之やこ
11,わたの原　八十島かけて　漕ぎ出でぬと,わたのはら　やそしまかけて　こぎいでぬと,,9,25,わたのはらや,,わた わたの の原 たの原,のは のはら はら,やそ
12,天つ風　雲の通ひ路　吹き閉ぢよ,あまつかぜ　くものかよひぢ　ふきとぢよ,,10,25,あまつ,,天つ 天つ風 つ風,あま つか つかぜ かぜ,アマツ ツカゼ
13,筑波嶺の　峰より落つる　男女川,つくばねの　みねよりおつる　みなのがは,,10,25,つく,,筑波 筑波嶺 嶺の 波嶺の,ばね ばねの ねの,つくば ツクバ
14,陸奥の　しのぶもぢずり　誰ゆゑに,みちのくの　しのぶもぢずり　たれゆゑに,,10,25,みち,,陸奥 陸奥の 奥の,のく のくの くの,道のく みちの ミチノ
15,君がため　春の野に出でて　若菜摘む,きみがため　はるののにいでて　わかなつむ,,9,25,きみがためは,,君が 君がた ため がため,きみ がた,はる キミが
16,立ち別れ　いなばの山の　峰に生ふる,たちわかれ　いなばのやまの　みねにおふる,,10,25,たち,,立ち 立ち別 別れ ち別れ,わか わかれ かれ,たちわ ワカレ
17,ちはやぶる　神代も聞かず　竜田川,ちはやぶる　かみよもきかず　たつたがわ,,10,25,ちは,,ちはや ぶる やぶる,やぶ,神代も 千早 ふる やふる チハヤ
18,住の江の　岸に寄る波　よるさへや,すみのえの　きしによるなみ　よるさへや,,10,25,す,,住の 住の江 江の の江の,すみ のえ のえの えの,すみのえの
19,難波潟　短き蘆の　ふしの間も,なにはがた　みじかきあしの　ふしのまも,,10,25,なにはが,,難波 難波潟 波潟,なに はが はがた がた,なにわ わが
20,わびぬれば　今はたおなじ　難波なる,わびぬれば　いまはたおなじ　なにはなる,,10,25,わび,,わびぬ れば ぬれば,ぬれ,ワビ 詫び 塗れば ヌレバ 濡れば
21,今来むと　言ひしばかりに　長月の,いまこむと　いひしばかりに　ながつきの,,10,25,いまこ,,今来 今来む むと 来むと,いま こむ こむと,こんと コン
22,吹くからに　秋の草木の　しをるれば,ふくからに　あきのくさきの　しをるれば,,10,25,ふ,,吹く 吹くか らに からに,ふく から,フク カラに ふくからに
23,月見れば　ちぢにものこそ　悲しけれ,つきみれば　ちぢにものこそ　かなしけれ,,10,25,つき,,月見 月見れ れば 見れば,みれ みれば,月み ツキミ つきみ
24,このたびは　ぬさも取りあへず　手向山,このたびは　ぬさもとりあへず　たむけやま,,10,25,この,,このた びは たびは,たび,この度 旅は コノ タビハ ぬさも
25,名にし負はば　逢坂山の　さねかづら,なにしおはば　あふさかやまの　さねかづら,,10,25,なにし,,名に 名にし はば 負はば,なに しお おはば,おわば おわ
26,小倉山　峰のもみぢ葉　心あらば,をぐらやま　みねのもみぢば　こころあらば,おぐ,11,25,をぐ,おぐ,小倉 小倉山 倉山,らや らやま やま,おぐら オグ 峰の
27,みかの原　わきて流るる　泉川,みかのはら　わきてながるる　いづみがは,,10,25,みかの,,みか の原 かの原,のは のはら はら,野原 ミカノ ミカの
28,山里は　冬ぞ寂しさ　まさりける,やまざとは　ふゆぞさびしさ　まさりける,,10,25,やまざ,,山里 山里は 里は,やま ざと ざとは とは,ヤマ やまざと
29,心あてに　折らばや折らむ　初霜の,こころあてに　をらばやをらむ　はつしもの,,10,25,こころあ,,心あ 心あて てに あてに,ここ ろあ,あて こころ 当て
30,有明の　つれなく見えし　別れより,ありあけの　つれなくみえし　わかれより,,10,25,ありあ,,有明 有明の 明の,あり あけ あけの けの,アリア 明けの
31,朝ぼらけ　有明の月と　見るまでに,あさぼらけ　ありあけのつきと　みるまでに,,9,25,あさぼらけあ,,朝ぼ 朝ぼら らけ ぼらけ,あさ ぼら,有明 あさぼ
32,山川に　風のかけたる　しがらみは,やまがわに　かぜのかけたる　しがらみは,,10,25,やまが,,山川 山川に 川に,やま がわ がわに わに,山側に ヤマが
33,ひさかたの　光のどけき　春の日に,ひさかたの　ひかりのどけき　はるのひに,,10,25,ひさ,,ひさか たの かたの,かた,久かた カタの ヒサ 久方の カタ
34,誰をかも　知る人にせむ　高砂の,たれをかも　しるひとにせむ　たかさごの,,10,25,たれ,,誰を 誰をか かも をかも,をか,たれを タレ おかも オカも
35,人はいさ　心も知らず　ふるさとは,ひとはいさ　こころもしらず　ふるさとは,,10,25,ひとは,,人は 人はい いさ はいさ,ひと はい,ヒトは ひとわ ヒト
36,夏の夜は　まだ宵ながら　明けぬるを,なつのよは　まだよひながら　あけぬるを,,10,25,なつ,,夏の 夏の夜 夜は の夜は,のよ のよは よは,ナツノ のよわ
37,白露に　風の吹きしく　秋の野は,しらつゆに　かぜのふきしく　あきののは,,10,25,しら,,白露 白露に 露に,つゆ つゆに ゆに,シラ しらつゆ 白つゆ
38,忘らるる　身をば思はず　誓ひてし,わすらるる　みをばおもはず　ちかひてし,,10,25,わすら,,忘ら 忘らる るる らるる,わす らる,ワスラ 和すら ルル
39,浅茅生の　小野の篠原　しのぶれど,あさぢふの　をののしのはら　しのぶれど,あさじ,10,25,あさぢ,あさじ,浅茅 浅茅生 生の 茅生の,あさ ぢふ ぢふの ふの,
40,しのぶれど　色に出でにけり　わが恋は,しのぶれど　いろにいでにけり　わがこひは,,10,25,しの,,しのぶ れど ぶれど,ぶれ,シノブ 偲ぶ ブレド シノ いろに
41,恋すてふ　わが名はまだき　立ちにけり,こひすてふ　わがなはまだき　たちにけり,こい,10,25,こひ,こい,恋す 恋すて てふ すてふ,すて,すちょう ちょう コイ
42,契りきな　かたみに袖を　しぼりつつ,ちぎりきな　かたみにそでを　しぼりつつ,,10,25,ちぎりき,,契り 契りき きな りきな,ちぎ りき,チギ リキ ちぎり
43,逢ひ見ての　のちの心に　くらぶれば,あひみての　のちのこころに　くらぶれば,あい,10,25,あひ,あい,逢ひ 逢ひ見 ての 見ての,みて みての,愛みて アイみ
44,逢ふことの　絶えてしなくは　なかなかに,あふことの　たえてしなくは　なかなかに,おおこ,10,25,あふこ,おおこ,逢ふ 逢ふこ との ことの,あふ こと,おお あうこ
45,あはれとも　いふべき人は　思おえで,あはれとも　いふべきひとは　おもおえで,あわれ,10,25,あはれ,あわれ,あは とも れとも,れと,あわ アワレ トモ 逢われ
46,由良の門を　渡る舟人　かぢを絶え,ゆらのとを　わたるふなびと　かぢをたえ,,10,25,ゆら,,由良 由良の 門を の門を,のと のとを とを,ユラ ゆらのと
47,八重むぐら　しげれる宿の　さびしきに,やへむぐら　しげれるやどの　さびしきに,やえ,10,25,やへ,やえ,八重 八重む ぐら むぐら,むぐ,ヤエ 八重むぐ ムグラ
48,風をいたみ　岩うつ波の　おのれのみ,かぜをいたみ　いはうつなみの　おのれのみ,,10,25,かぜを,,風を 風をい たみ いたみ,かぜ をい,カゼを いた カゼオ
49,御垣守　衛士のたく火の　夜は燃え,みかきもり　ゑじのたくひの　よるはもえ,,10,25,みかき,,御垣 御垣守 垣守,みか きも きもり もり,ミカキ キモリ
50,君がため　惜しからざりし　命さへ,きみがため　をしからざりし　いのちさへ,,9,25,きみがためを,,君が 君がた ため がため,きみ がた,キミが おし
51,かくとだに　えやは伊吹の　さしも草,かくとだに　えやはいぶきの　さしもぐさ,,10,25,かく,,かくと だに とだに,とだ,カク 書くと ダニ カクト 角とだ
52,明けぬれば　暮るるものとは　知りながら,あけぬれば　くるるものとは　しりながら,,10,25,あけ,,明け 明けぬ れば ぬれば,ぬれ,アケ ヌレバ 塗れば 開けぬ
53,嘆きつつ　ひとり寝る夜の　明くる間は,なげきつつ　ひとりねるよの　あくるまは,,10,25,なげき,,嘆き 嘆きつ つつ きつつ,なげ きつ,ナゲキ なき キツツ
54,忘れじの　ゆく末までは　かたければ,わすれじの　ゆくすゑまでは　かたければ,,10,25,わすれ,,忘れ 忘れじ じの れじの,わす れじ,忘れぢ レジ ワスレ
55,滝の音は　絶えて久しく　なりぬれど,たきのおとは　たえてひさしく　なりぬれど,,10,25,たき,,滝の 滝の音 音は の音は,のお おとは とは,タキ ノオトワ
56,あらざらむ　この世のほかの　思ひ出に,あらざらむ　このよのほかの　おもひでに,,10,25,あらざ,,あら らむ ざらむ,ざら,アラザ ラム このよ アラ座 ザラ
57,めぐり逢ひて　見しやそれとも　わかぬ間に,めぐりあひて　みしやそれとも　わかぬまに,,11,25,め,,めぐ めぐり ひて 逢ひて,りあ あひて,メグ 巡り あいて 開い
58,有馬山　猪名の笹原　風吹けば,ありまやま　ゐなのささはら　かぜふけば,,10,25,ありま,,有馬 有馬山 馬山,あり まや まやま やま,アリマ 有間山
59,やすらはで　寝なましものを　さ夜更けて,やすらはで　ねなましものを　さよふけて,,10,25,やす,,やすら はで らはで,らは,安らわ ヤス らわで ヤスラ 寝な
60,大江山　いく野の道の　遠ければ,おおえやま　いくののみちの　とおければ,おおえ,10,25,おほえ,おおえ,大江 大江山 江山,おお えや えやま やま,オオエ
61,いにしへの　奈良の都の　八重桜,いにしへの　ならのみやこの　やへざくら,,10,25,いに,,いにし への しへの,しへ,古の えの いにしえ 奈良の イニ
