札番号,元のカタカナ,元のひらがな,カタカナ決まり字,ひらがな決まり字,単語数,総文字数,カタカナ決まり字パーツ,ひらがな決まり字パーツ,カタカナパーツ(1句目),ひらがなパーツ(1句目),カタカナパーツ(2句目),ひらがなパーツ(2句目),漢字1句目・同音異義パーツ
1,アキノタノ　カリホノイホノ　トマヲアラミ,あきのたの　かりほのいほの　とまをあらみ,アキノ,あきの,12,28,アキノ,あきの,アキ ノタ ノタノ タノ,あき のた のたの たの,,,秋の 田の
2,ハルスギテ　ナツキニケラシ　　シロタエノ,はるすぎて　なつきにけらし　　しろたえの,ハルス,はるす,12,28,ハルス,はるす,ハル スギ スギテ ギテ,はる すぎ すぎて ぎて,,,春過 過ぎ
3,アシビキノ　ヤマドリノヲノ　シダリヲノ,あしびきの　やまどりのをの　しだりをの,アシ,あし,9,21,アシ,あし,ビキ ビキノ キノ,びき びきの きの,,,あしび
4,タゴノウラニ　ウチイデテミレバ　シロタエノ,たごのうらに　うちいでてみれば　しろたえの,タゴ,たご,12,28,タゴ,たご,ノウ ウラニ ラニ,のう うらに らに,,,田子 田子の 浦に の浦に
5,オクヤマニ　モミヂフミワケ　ナクシカノ,おくやまに　もみぢふみわけ　なくしかの,オク,おく,11,25,オク,おく,ヤマ ヤマニ マニ,やま やまに まに,,,奥山 奥山に 山に
6,カササギノ　ワタセルハシニ　オクシモノ,かささぎの　わたせるはしに　おくしもの,カサ,かさ,9,20,カサ,かさ,サギ サギノ ギノ,さぎ さぎの ぎの,,,鵲の
7,アマノハラ　フリサケミレバ　カスガナル,あまのはら　ふりさけみれば　かすがなる,アマノ,あまの,12,28,アマノ,あまの,アマ ノハ ノハラ ハラ,あま のは のはら はら,,,天の の原
8,ワガイホハ　ミヤコノタツミ　シカゾスム,わがいほは　みやこのたつみ　しかぞすむ,ワガイ,わがい,11,27,ワガイ,わがい,ワガ イホ イホハ ホハ,わが いほ いほは ほは,,,わが庵
9,ハナノイロハ　ウツリニケリナ　イタヅラニ,はなのいろは　うつりにけりな　いたづらに,ハナノ,はなの,12,28,ハナノ,はなの,ハナ ノイ イロハ ロハ,はな のい いろは ろは,,,花の 色は
10,コレヤコノ　イクモカヘルモ　ワカレテハ,これやこの　いくもかへるも　わかれては,コレ,これ,9,21,コレ,これ,ヤコ ヤコノ コノ,やこ やこの この,,,これや
11,ワタノハラ　ヤソシマカケテ　コギイデヌト,わたのはら　やそしまかけて　こぎいでぬと,ワタノハラヤ,わたのはらや,12,28,,,ワタ ノハ ノハラ ハラ,わた のは のはら はら,ヤソ ヤソシ,やそ やそし,
12,アマツカゼ　クモノカヨイヂ　フキトヂヨ,あまつかぜ　くものかよひぢ　ふきとぢよ,アマツ,あまつ,12,28,アマツ,あまつ,アマ ツカ ツカゼ カゼ,あま つか つかぜ かぜ,,,天つ つ風
13,ツクバネノ　ミネヨリオツル　ミナノガワ,つくばねの　みねよりおつる　みなのがは,ツク,つく,12,28,ツク,つく,バネ バネノ ネノ,ばね ばねの ねの,,,筑波 筑波嶺 嶺の 波嶺の
14,ミチノクノ　シノブモヂズリ　タレユエニ,みちのくの　しのぶもぢずり　たれゆえに,ミチ,みち,11,25,ミチ,みち,ノク ノクノ クノ,のく のくの くの,,,陸奥 陸奥の 奥の
15,キミガタメ　ハルノノニイデテ　ワカナツム,きみがため　はるののにいでて　わかなつむ,キミガタメハ,きみがためは,12,28,,,キミ ガタ ガタメ タメ,きみ がた がため ため,ハル ハルノ,はる はるの,
