札番号,元のカタカナ,元のひらがな,カタカナ決まり字,ひらがな決まり字,単語数,総文字数,カタカナ決まり字パーツ,ひらがな決まり字パーツ,カタカナパーツ(1句目),ひらがなパーツ(1句目),カタカナパーツ(2句目),ひらがなパーツ(2句目),漢字1句目・補填パーツ
1,アキノタノ　カリホノイホノ　トマヲアラミ,あきのたの　かりほのいほの　とまをあらみ,アキノ,あきの,13,31,アキノ,あきの,アキ ノタ ノタノ タノ,あき のた のたの たの,,,秋の 秋の田 田の
2,ハルスギテ　ナツキニケラシ　　シロタエノ,はるすぎて　なつきにけらし　　しろたえの,ハルス,はるす,13,32,ハルス,はるす,ハル スギ スギテ ギテ,はる すぎ すぎて ぎて,,,春過 春過ぎ 過ぎて
3,アシビキノ　ヤマドリノヲノ　シダリヲノ,あしびきの　やまどりのをの　しだりをの,アシ,あし,13,32,アシ,あし,ビキ ビキノ キノ,びき びきの きの,,,あしび しびき きのび のびき しび
4,タゴノウラニ　ウチイデテミレバ　シロタエノ,たごのうらに　うちいでてみれば　しろたえの,タゴ,たご,13,31,タゴ,たご,ノウ ウラニ ラニ,のう うらに らに,,,田子 田子の 浦に の浦に 田子田
5,オクヤマニ　モミヂフミワケ　ナクシカノ,おくやまに　もみぢふみわけ　なくしかの,オク,おく,13,31,オク,おく,ヤマ ヤマニ マニ,やま やまに まに,,,奥山 奥山に 山に 奥山奥 山奥山
6,カササギノ　ワタセルハシニ　オクシモノ,かささぎの　わたせるはしに　おくしもの,カサ,かさ,13,31,カサ,かさ,サギ サギノ ギノ,さぎ さぎの ぎの,,,鵲の カササ ササギ ササ かささ
7,アマノハラ　フリサケミレバ　カスガナル,あまのはら　ふりさけみれば　かすがなる,アマノ,あまの,13,31,アマノ,あまの,アマ ノハ ノハラ ハラ,あま のは のはら はら,,,天の 天の原 の原
8,ワガイホハ　ミヤコノタツミ　シカゾスム,わがいほは　みやこのたつみ　しかぞすむ,ワガイ,わがい,13,32,ワガイ,わがい,ワガ イホ イホハ ホハ,わが いほ いほは ほは,,,わが庵 庵は が庵は
9,ハナノイロハ　ウツリニケリナ　イタヅラニ,はなのいろは　うつりにけりな　いたづらに,ハナノ,はなの,13,31,ハナノ,はなの,ハナ ノイ イロハ ロハ,はな のい いろは ろは,,,花の 花の色 色は
10,コレヤコノ　イクモカヘルモ　ワカレテハ,これやこの　いくもかへるも　わかれては,コレ,これ,13,32,コレ,これ,ヤコ ヤコノ コノ,やこ やこの この,,,これや れやこ このや のやこ れや
11,ワタノハラ　ヤソシマカケテ　コギイデヌト,わたのはら　やそしまかけて　こぎいでぬと,ワタノハラヤ,わたのはらや,13,31,,,ワタ ノハ ノハラ ハラ,わた のは のはら はら,ヤソ ヤソシ,やそ やそし,わたの
12,アマツカゼ　クモノカヨイヂ　フキトヂヨ,あまつかぜ　くものかよひぢ　ふきとぢよ,アマツ,あまつ,13,31,アマツ,あまつ,アマ ツカ ツカゼ カゼ,あま つか つかぜ かぜ,,,天つ 天つ風 つ風
13,ツクバネノ　ミネヨリオツル　ミナノガワ,つくばねの　みねよりおつる　みなのがは,ツク,つく,13,31,ツク,つく,バネ バネノ ネノ,ばね ばねの ねの,,,筑波 筑波嶺 嶺の 波嶺の 筑波筑
14,ミチノクノ　シノブモヂズリ　タレユエニ,みちのくの　しのぶもぢずり　たれゆえに,ミチ,みち,13,31,ミチ,みち,ノク ノクノ クノ,のく のくの くの,,,陸奥 陸奥の 奥の 陸奥陸 奥陸奥
15,キミガタメ　ハルノノニイデテ　ワカナツム,きみがため　はるののにいでて　わかなつむ,キミガタメハ,きみがためは,14,32,,,キミ ガタ ガタメ タメ,きみ がた がため ため,ハル ハルノ,はる はるの,君が が君
16,タチワカレ　イナバノヤマノ　ミネニオウル,たちわかれ　いなばのやまの　みねにおうる,タチ,たち,13,31,タチ,たち,ワカ ワカレ カレ,わか わかれ かれ,,,立ち 立ち別 別れ ち別れ 立ち立
17,チハヤブル　カミヨモキカズ　タツタガワ,ちはやぶる　かみよもきかず　たつたがわ,チハ,ちは,13,32,チハ,ちは,ヤブ ヤブル ブル,やぶ やぶる ぶる,,,ちはや はやぶ ぶるや るやぶ はや
18,スミノエノ　キシニヨルナミ　ヨルサエヤ,すみのえの　きしによるなみ　よるさへや,ス,す,15,32,ス,す,スミ ノエ ノエノ エノ,すみ のえ のえの えの,,,住の 住の江 江の の江の の住
19,ナニワガタ　ミジカキアシノ　フシノマモ,なにはがた　みじかきあしの　ふしのまも,ナニハガ,なにはが,14,32,,,ナニ ワガ ワガタ ガタ,なに はが はがた がた,ミジ ミジカ,みじ みじか,難波 波潟
20,ワビヌレバ　イマハタオナジ　ナニワナル,わびぬれば　いまはたおなじ　なにわなる,ワビ,わび,13,32,ワビ,わび,ヌレ ヌレバ レバ,ぬれ ぬれば れば,,,わびぬ びぬれ ればぬ ばぬれ びぬ
21,イマコント　イイシバカリニ　ナガツキノ,いまこむと　いいしばかりに　ながつきの,イマコ,いまこ,13,32,イマコ,いまこ,イマ コン コント ント,いま こむ こむと むと,,,今来 今来む 来むと
22,フクカラニ　アキノクサキノ　シオルレバ,ふくからに　あきのくさきの　しをるれば,フ,ふ,14,31,フ,ふ,フク カラ カラニ ラニ,ふく から からに らに,,,吹く 吹くか 吹く吹 く吹く
23,ツキミレバ　チヂニモノコソ　カナシケレ,つきみれば　ちぢにものこそ　かなしけれ,ツキ,つき,13,32,ツキ,つき,ミレ ミレバ レバ,みれ みれば れば,,,月見 月見れ 見れば 月見月 見月見
24,コノタビハ　ヌサモトリアヘズ　タムケヤマ,このたびは　ぬさもとりあへず　たむけやま,コノ,この,13,32,コノ,この,タビ タビハ ビハ,たび たびは びは,,,このた のたび びはた はたび のた
25,ナニシオワバ　オオサカヤマノ　サネカヅラ,なにしおはば　あふさかやまの　さねかづら,ナニシ,なにし,13,32,ナニシ,なにし,ナニ シオ オワバ ワバ,なに しお おはば はば,,,名に 名にし 負はば
26,オグラヤマ　ミネノモミヂバ　ココロアラバ,をぐらやま　みねのもみぢば　こころあらば,ヲグ,おぐ,14,32,ヲグ,おぐ,オグ ラヤ ラヤマ ヤマ,をぐ らや らやま やま,,,小倉 小倉山 倉山 小倉小
27,ミカノハラ　ワキテナガルル　イヅミガワ,みかのはら　わきてながるる　いづみがは,ミカノ,みかの,13,32,ミカノ,みかの,ミカ ノハ ノハラ ハラ,みか のは のはら はら,,,の原 かの原 の原か
28,ヤマザトハ　フユゾサビシサ　マサリケル,やまざとは　ふゆぞさびしさ　まさりける,ヤマザ,やまざ,13,31,ヤマザ,やまざ,ヤマ ザト ザトハ トハ,やま ざと ざとは とは,,,山里 山里は 里は
29,ココロアテニ　オラバヤヲラム　ハツシモノ,こころあてに　をらばやをらむ　はつしもの,ココロア,こころあ,14,32,,,ココ ロア アテニ テニ,ここ ろあ あてに てに,オラ オラバ,をら をらば,心あ あ心
30,アリアケノ　ツレナクミエシ　ワカレヨリ,ありあけの　つれなくみえし　わかれより,アリア,ありあ,13,31,アリア,ありあ,アリ アケ アケノ ケノ,あり あけ あけの けの,,,有明 有明の 明の
31,アサボラケ　アリアケノツキト　ミルマデニ,あさぼらけ　ありあけのつきと　みるまでに,アサボラケア,あさぼらけあ,14,32,,,アサ ボラ ボラケ ラケ,あさ ぼら ぼらけ らけ,アリ アリア,あり ありあ,朝ぼ ぼ朝
32,ヤマガワニ　カゼノカケタル　シガラミハ,やまがわに　かぜのかけたる　しがらみは,ヤマガ,やまが,13,31,ヤマガ,やまが,ヤマ ガワ ガワニ ワニ,やま がわ がわに わに,,,山川 山川に 川に
33,ヒサカタノ　ヒカリノドケキ　ハルノヒニ,ひさかたの　ひかりのどけき　はるのひに,ヒサ,ひさ,13,32,ヒサ,ひさ,カタ カタノ タノ,かた かたの たの,,,ひさか さかた たのか のかた さか
34,タレヲカモ　シルヒトニセン　タカサゴノ,たれをかも　しるひとにせむ　たかさごの,タレ,たれ,13,32,タレ,たれ,ヲカ ヲカモ カモ,をか をかも かも,,,誰を 誰をか 誰を誰 を誰を をかか
35,ヒトワイサ　ココロモシラズ　フルサトハ,ひとはいさ　こころもしらず　ふるさとは,ヒトハ,ひとは,13,32,ヒトハ,ひとは,ヒト ワイ ワイサ イサ,ひと はい はいさ いさ,,,人は 人はい 人は人
36,ナツノヨワ　マダヨイナガラ　アケヌルヲ,なつのよは　まだよひながら　あけぬるを,ナツ,なつ,13,31,ナツ,なつ,ノヨ ノヨワ ヨワ,のよ のよは よは,,,夏の 夏の夜 夜は の夜は 夏の夏
37,シラツユニ　カゼノフキシク　アキノノハ,しらつゆに　かぜのふきしく　あきののは,シラ,しら,13,31,シラ,しら,ツユ ツユニ ユニ,つゆ つゆに ゆに,,,白露 白露に 露に 白露白 露白露
38,ワスラルル　ミヲバオモハズ　チカイテシ,わすらるる　みをばおもはず　ちかひてし,ワスラ,わすら,13,32,ワスラ,わすら,ワス ラル ラルル ルル,わす らる らるる るる,,,忘ら 忘らる 忘ら忘
39,アサジフノ　ヲノノシノハラ　シノブレド,あさぢふの　をののしのはら　しのぶれど,アサヂ,あさじ,13,31,アサヂ,あさじ,アサ ジフ ジフノ フノ,あさ ぢふ ぢふの ふの,,,浅茅 浅茅生 生の
40,シノブレド　イロニイデニケリ　ワガコイワ,しのぶれど　いろにいでにけり　わがこひは,シノ,しの,13,32,シノ,しの,ブレ ブレド レド,ぶれ ぶれど れど,,,しのぶ のぶれ れどぶ どぶれ のぶ
41,コイスチョウ　ワガナワマダキ　タチニケリ,こひすてふ　わがなはまだき　たちにけり,コヒ,こい,14,32,コヒ,こい,コイ スチ チョウ ョウ,こひ すて すてふ てふ,,,恋す 恋すて 恋す恋 す恋
