札番号,ひらがな本文,ひらがな決まり字,単語数,総文字数,抽出全単語リスト,決まり字パーツ,1句目パーツ,2句目パーツ
1,あきのたの　かりほのいほの　とまをあらみ,あきの,5,12,あきの あき のた のたの たの,あきの,あき のた のたの たの,
2,はるすぎて　なつきにけらし　　しろたえの,はるす,5,12,はるす はる すぎ すぎて ぎて,はるす,はる すぎ すぎて ぎて,
3,あしびきの　やまどりのをの　しだりをの,あし,4,9,あし びき びきの きの,あし,びき びきの きの,
4,たごのうらに　うちいでてみれば　しろたえの,たご,4,9,たご のう うらに らに,たご,のう うらに らに,
5,おくやまに　もみぢふみわけ　なくしかの,おく,4,9,おく やま やまに まに,おく,やま やまに まに,
6,かささぎの　わたせるはしに　おくしもの,かさ,4,9,かさ さぎ さぎの ぎの,かさ,さぎ さぎの ぎの,
7,あまのはら　ふりさけみれば　かすがなる,あまの,5,12,あまの あま のは のはら はら,あまの,あま のは のはら はら,
8,わがいほは　みやこのたつみ　しかぞすむ,わがい,5,12,わがい わが いほ いほは ほは,わがい,わが いほ いほは ほは,
9,はなのいろは　うつりにけりな　いたづらに,はなの,5,12,はなの はな のい いろは ろは,はなの,はな のい いろは ろは,
10,これやこの　いくもかへるも　わかれては,これ,4,9,これ やこ やこの この,これ,やこ やこの この,
11,わたのはら　やそしまかけて　こぎいでぬと,わたのはらや,6,14,わた のは のはら はら やそ やそし,,わた のは のはら はら,やそ やそし
12,あまつかぜ　くものかよひぢ　ふきとぢよ,あまつ,5,12,あまつ あま つか つかぜ かぜ,あまつ,あま つか つかぜ かぜ,
13,つくばねの　みねよりおつる　みなのがは,つく,4,9,つく ばね ばねの ねの,つく,ばね ばねの ねの,
14,みちのくの　しのぶもぢずり　たれゆえに,みち,4,9,みち のく のくの くの,みち,のく のくの くの,
15,きみがため　はるののにいでて　わかなつむ,きみがためは,6,14,きみ がた がため ため はる はるの,,きみ がた がため ため,はる はるの
16,たちわかれ　いなばのやまの　みねにおうる,たち,4,9,たち わか わかれ かれ,たち,わか わかれ かれ,
17,ちはやぶる　かみよもきかず　たつたがわ,ちは,4,9,ちは やぶ やぶる ぶる,ちは,やぶ やぶる ぶる,
18,すみのえの　きしによるなみ　よるさへや,す,5,10,す すみ のえ のえの えの,す,すみ のえ のえの えの,
19,なにはがた　みじかきあしの　ふしのまも,なにはが,6,14,なに はが はがた がた みじ みじか,,なに はが はがた がた,みじ みじか
20,わびぬれば　いまはたおなじ　なにわなる,わび,4,9,わび ぬれ ぬれば れば,わび,ぬれ ぬれば れば,
21,いまこむと　いいしばかりに　ながつきの,いまこ,5,12,いまこ いま こむ こむと むと,いまこ,いま こむ こむと むと,
22,ふくからに　あきのくさきの　しをるれば,ふ,5,10,ふ ふく から からに らに,ふ,ふく から からに らに,
23,つきみれば　ちぢにものこそ　かなしけれ,つき,4,9,つき みれ みれば れば,つき,みれ みれば れば,
24,このたびは　ぬさもとりあへず　たむけやま,この,4,9,この たび たびは びは,この,たび たびは びは,
25,なにしおはば　あふさかやまの　さねかづら,なにし,5,12,なにし なに しお おはば はば,なにし,なに しお おはば はば,
26,をぐらやま　みねのもみぢば　こころあらば,おぐ,5,11,おぐ をぐ らや らやま やま,おぐ,をぐ らや らやま やま,
27,みかのはら　わきてながるる　いづみがは,みかの,5,12,みかの みか のは のはら はら,みかの,みか のは のはら はら,
28,やまざとは　ふゆぞさびしさ　まさりける,やまざ,5,12,やまざ やま ざと ざとは とは,やまざ,やま ざと ざとは とは,
29,こころあてに　をらばやをらむ　はつしもの,こころあ,6,14,ここ ろあ あてに てに をら をらば,,ここ ろあ あてに てに,をら をらば
30,ありあけの　つれなくみえし　わかれより,ありあ,5,12,ありあ あり あけ あけの けの,ありあ,あり あけ あけの けの,
31,あさぼらけ　ありあけのつきと　みるまでに,あさぼらけあ,6,14,あさ ぼら ぼらけ らけ あり ありあ,,あさ ぼら ぼらけ らけ,あり ありあ
