札番号,ファイル名,長さ(秒)
001,001_s.wav,8.74
002,002_s.wav,8.39
003,003_s.wav,8.86
004,004_s.wav,8.81
005,005_s.wav,8.81
006,006_s.wav,8.75
007,007_s.wav,8.51
008,008_s.wav,8.73
009,009_s.wav,9.03
010,010_s.wav,8.82
011,011_s.wav,8.71
012,012_s.wav,8.76
013,013_s.wav,8.85
014,014_s.wav,8.87
015,015_s.wav,8.98
016,016_s.wav,8.58
017,017_s.wav,8.49
018,018_s.wav,8.95
019,019_s.wav,8.73
020,020_s.wav,8.7
021,021_s.wav,9.31
022,022_s.wav,8.7
023,023_s.wav,8.81
024,024_s.wav,9.06
025,025_s.wav,8.75
026,026_s.wav,8.65
027,027_s.wav,8.73
028,028_s.wav,8.73
029,029_s.wav,8.83
030,030_s.wav,8.73
031,031_s.wav,8.78
032,032_s.wav,9.0
033,033_s.wav,9.01
034,034_s.wav,8.63
035,035_s.wav,8.71
036,036_s.wav,8.68
037,037_s.wav,8.86
038,038_s.wav,8.85
039,039_s.wav,8.97
040,040_s.wav,8.96
041,041_s.wav,9.03
042,042_s.wav,9.06
043,043_s.wav,8.45
044,044_s.wav,8.73
045,045_s.wav,8.99
046,046_s.wav,8.93
047,047_s.wav,9.14
048,048_s.wav,8.55
049,049_s.wav,9.2
050,050_s.wav,8.55
051,051_s.wav,8.87
052,052_s.wav,8.78
053,053_s.wav,8.85
054,054_s.wav,9.03
055,055_s.wav,8.76
056,056_s.wav,8.75
057,057_s.wav,9.07
058,058_s.wav,9.03
059,059_s.wav,8.98
060,060_s.wav,9.06
061,061_s.wav,8.9
062,062_s.wav,9.35
063,063_s.wav,8.88
064,064_s.wav,8.73
065,065_s.wav,8.57
066,066_s.wav,8.73
067,067_s.wav,8.97
068,068_s.wav,9.26
069,069_s.wav,8.93
070,070_s.wav,8.83
071,071_s.wav,8.68
072,072_s.wav,8.93
073,073_s.wav,8.93
074,074_s.wav,8.67
075,075_s.wav,8.94
076,076_s.wav,8.8
077,077_s.wav,8.8
078,078_s.wav,8.8
079,079_s.wav,9.52
080,080_s.wav,9.29
081,081_s.wav,9.13
082,082_s.wav,9.06
083,083_s.wav,9.07
084,084_s.wav,9.01
085,085_s.wav,8.68
086,086_s.wav,9.12
087,087_s.wav,8.91
088,088_s.wav,9.11
089,089_s.wav,9.02
090,090_s.wav,8.99
091,091_s.wav,8.97
092,092_s.wav,8.45
093,093_s.wav,9.07
094,094_s.wav,9.06
095,095_s.wav,8.86
096,096_s.wav,9.15
097,097_s.wav,9.05
098,098_s.wav,9.35
099,099_s.wav,9.75
100,100_s.wav,9.25
