札番号,元の漢字,元のひらがな,調整後単語数,調整後満点スコア,登録単語リスト
1,秋の田の　かりほの庵の　苫をあらみ,あきのたの　かりほのいほの　とまをあらみ,15,37,あきの とまを 苫を 秋の 秋の田 田の の田の あき のた のたの たの かり かりほ 庵の の庵の
2,春過ぎて　夏来にけらし　　白妙の,はるすぎて　なつきにけらし　　しろたへの,15,37,はるす きに 白妙の たえ 春過 春過ぎ ぎて 過ぎて はる すぎ すぎて 夏来 夏来に らし けらし
3,あしびきの　山鳥の尾の　しだり尾の,あしびきの　やまどりのをの　しだりをの,15,35,あし おの のお あしび きの びきの びき 山鳥 山鳥の 尾の の尾の やま どり のを のをの
4,田子の浦に　うち出でて見れば　白妙の,たごのうらに　うちいでてみれば　しろたへの,15,36,たご 田子 田子の 浦に の浦に のう うらに らに うち うち出 れば 見れば いで てみ みれば
5,奥山に　紅葉踏み分け　鳴く鹿の,おくやまに　もみぢふみわけ　なくしかの,15,35,おく 奥山 奥山に 山に やま やまに まに 紅葉 紅葉踏 分け み分け もみ ぢふ みわ みわけ
6,鵲の　渡せる橋に　置く霜の,かささぎの　わたせるはしに　おくしもの,15,35,かさ 鵲の さぎ さぎの ぎの 渡せ 渡せる 橋に る橋に わた せる はし はしに たせる しに
7,天の原　ふりさけ見れば　春日なる,あまのはら　ふりさけみれば　かすがなる,15,36,あまの 天の 天の原 の原 あま のは のはら はら ふり ふりさ れば 見れば さけ みれ みれば
8,わが庵は　都の辰巳　しかぞ住む,わがいほは　みやこのたつみ　しかぞすむ,15,36,わがい わが わが庵 庵は が庵は いほ いほは ほは 都の 都の辰 辰巳 の辰巳 みや この たつ
9,花の色は　移りにけりな　いたづらに,はなのいろは　うつりにけりな　いたづらに,15,36,はなの 花の 花の色 色は の色は はな のい いろは ろは 移り 移りに りな けりな うつ りに
10,これやこの　行くも帰るも　別れては,これやこの　いくもかへるも　わかれては,15,37,これ ゆくも かえる これや この やこの やこ 行く 行くも るも 帰るも いく もか へる へるも
11,わたの原　八十島かけて　漕ぎ出でぬと,わたのはら　やそしまかけて　こぎいでぬと,15,39,わたのはらや わた わたの の原 たの原 のは のはら はら 八十 八十島 けて かけて やそ しま かけ
12,天つ風　雲の通ひ路　吹き閉ぢよ,あまつかぜ　くものかよひぢ　ふきとぢよ,15,35,あまつ 天つ 天つ風 つ風 あま つか つかぜ かぜ 雲の 雲の通 ひ路 通ひ路 くも のか よひ
13,筑波嶺の　峰より落つる　男女川,つくばねの　みねよりおつる　みなのがは,15,35,つく 筑波 筑波嶺 嶺の 波嶺の ばね ばねの ねの 峰よ 峰より つる 落つる みね より おつ
14,陸奥の　しのぶもぢずり　誰ゆゑに,みちのくの　しのぶもぢずり　たれゆゑに,15,34,みち もじ ずり ゆえ 陸奥 陸奥の 奥の のく のくの くの しの しのぶ ぢずり ぶも ぢず
15,君がため　春の野に出でて　若菜摘む,きみがため　はるののにいでて　わかなつむ,15,39,きみがためは 君が 君がた ため がため きみ がた 春の 春の野 でて 出でて はる のの にい いでて
16,立ち別れ　いなばの山の　峰に生ふる,たちわかれ　いなばのやまの　みねにおふる,15,36,たち 立ち 立ち別 別れ ち別れ わか わかれ かれ いな いなば 山の の山の ばの やま やまの
17,ちはやぶる　神代も聞かず　竜田川,ちはやぶる　かみよもきかず　たつたがわ,15,36,ちは やふる ふる ちはや ぶる やぶる やぶ 神代 神代も かず 聞かず かみ よも きか きかず
18,住の江の　岸に寄る波　よるさへや,すみのえの　きしによるなみ　よるさへや,15,34,す 住の 住の江 江の の江の すみ のえ のえの えの 岸に 岸に寄 る波 寄る波 きし によ
19,難波潟　短き蘆の　ふしの間も,なにはがた　みじかきあしの　ふしのまも,15,36,なにはが 難波 難波潟 波潟 なに はが はがた がた 短き 短き蘆 蘆の き蘆の みじ かき あし
20,わびぬれば　今はたおなじ　難波なる,わびぬれば　いまはたおなじ　なにはなる,15,35,わび はた なにわ なる 同じ わびぬ れば ぬれば ぬれ 今は 今はた なじ おなじ いま おな
21,今来むと　言ひしばかりに　長月の,いまこむと　いひしばかりに　ながつきの,15,39,いまこ こんと 言いし いいし 今来 今来む むと 来むと いま こむ こむと 言ひ 言ひし りに かりに
22,吹くからに　秋の草木の　しをるれば,ふくからに　あきのくさきの　しをるれば,15,34,ふ 吹く 吹くか らに からに ふく から 秋の 秋の草 木の 草木の あき のく さき さきの
23,月見れば　ちぢにものこそ　悲しけれ,つきみれば　ちぢにものこそ　かなしけれ,15,36,つき ちじ ちじに 月見 月見れ れば 見れば みれ みれば ちぢ ちぢに こそ のこそ にも のこ
24,このたびは　ぬさも取りあへず　手向山,このたびは　ぬさもとりあへず　たむけやま,15,41,この あえず たむけ とりあえず この度は このた びは たびは たび ぬさ ぬさも へず あへず もと りあ
25,名にし負はば　逢坂山の　さねかづら,なにしおはば　あふさかやまの　さねかづら,15,36,なにし 名に 名にし はば 負はば なに しお おはば 逢坂 逢坂山 山の 坂山の あふ さか やま
26,小倉山　峰のもみぢ葉　心あらば,をぐらやま　みねのもみぢば　こころあらば,15,34,をぐ おぐ 小倉 小倉山 倉山 らや らやま やま 峰の 峰のも ぢ葉 みぢ葉 みね のも みぢ
